,Posture Problem,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis + Kyphosis,Lordosis + Forward Head Posture,Lordosis + Rounded Shoulders,Lordosis + Scoliosis,Lordosis + Pelvic Tilt,Lordosis + Flat Back Syndrome,Lordosis + Text Neck,Lordosis + Slumped Sitting Posture,Lordosis + Hyperlordosis,Lordosis + Kyphosis,Lordosis + Kyphosis + Forward Head Posture,Lordosis + Scoliosis + Pelvic Tilt,Lordosis + Rounded Shoulders + Text Neck,Lordosis + Forward Head Posture + Slumped Sitting Posture,Lordosis + Kyphosis + Rounded Shoulders,Lordosis + Pelvic Tilt + Hyperlordosis,Lordosis + Scoliosis + Flat Back Syndrome,Lordosis + Forward Head Posture + Text Neck,Lordosis + Kyphosis + Slumped Sitting Posture,Lordosis + Rounded Shoulders + Pelvic Tilt
r_scapula_position,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
l_scapula_winging,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
r_scapula_winging,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
l_pec_tension,23,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,-3
r_pec_tension,24,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,-3
l_ribcage_position,25,0,0,0,0,0,0,0,0,2,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
r_ribcage_position,26,0,0,0,0,0,0,0,0,-2,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0
l_breathing_pattern,27,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-2,-2,-2,0,0,0,-2,-2
r_breathing_pattern,28,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-2,-2,-2,0,0,0,-2,-2
l_thoracic_rotation,29,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-3,0,0,0,-2,0,-2,-3,0,-2,0,-2,0,-3,0,-3,-2
r_thoracic_rotation,30,0,0,0,0,0,0,0,0,0,0,-2,0,-2,3,0,0,0,-2,0,-2,-3,0,-2,0,-2,0,3,0,-3,-2
l_thoracic_tension,31,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,-3,0,-3,-4,0,-3,0,-3,0,0,0,-4,-3
r_thoracic_tension,32,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,-3,0,-3,-4,0,-3,0,-3,0,0,0,-4,-3
l_thoracic_flexibility,33,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,0,0,-2,0,-2,-3,0,-2,0,-2,0,0,0,-3,-2
r_thoracic_flexibility,34,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,0,0,-2,0,-2,-3,0,-2,0,-2,0,0,0,-3,-2
thoracic_curve,35,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,-2,0,2,0,3,4,0,2,0,3,0,0,0,4,2
spine_curve_coronal,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
l_lumbar_tension,37,-2,-2,-2,-4,-7,-3,-2,-8,-4,-3,-3,-2,-3,-4,-3,-2,-2,-4,-7,-4,-3,-3,-3,-2,-3,-5,-4,-3,-5,-4
r_lumbar_tension,38,-2,-2,-2,-4,-7,-2,-3,-7,-5,-2,-3,-2,-3,-3,-4,-2,-2,-4,-6,-4,-3,-3,-3,-2,-3,-5,-3,-3,-5,-4
l_lumbar_rotation,39,-1,-1,-1,-2,-4,-2,-1,-5,-2,-2,-2,-1,-2,-3,-2,-1,-1,-2,-4,-2,-2,-2,-2,-1,-2,-3,-3,-2,-3,-2
r_lumbar_rotation,40,-1,-1,-1,-2,-4,-1,-2,-4,-3,-1,-2,-1,-2,-2,-3,-1,-1,-2,-3,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
l_lumbar_sidebend,41,-1,-1,-1,-2,-4,-2,-1,-5,-2,-2,-2,-1,-2,-3,-2,-1,-1,-2,-4,-2,-2,-2,-2,-1,-2,-3,-3,-2,-3,-2
r_lumbar_sidebend,42,-1,-1,-1,-2,-4,-1,-2,-4,-3,-1,-2,-1,-2,-2,-3,-1,-1,-2,-3,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
lumbar_curve,43,3,3,3,5,8,4,4,9,5,4,4,3,4,5,6,2,3,5,10,5,4,5,4,3,4,7,6,4,6,5
l_upper_abs,44,-1,-1,-1,-2,-4,-2,-1,-5,-2,-2,-2,-1,-2,-2,-3,-1,-1,-2,-5,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
r_upper_abs,45,-1,-1,-1,-2,-4,-1,-2,-4,-3,-1,-2,-1,-2,-2,-3,-1,-1,-2,-4,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
l_lower_abs,46,-1,-1,-1,-2,-4,-2,-1,-5,-2,-2,-2,-1,-2,-2,-3,-1,-1,-2,-5,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
r_lower_abs,47,-1,-1,-1,-2,-4,-1,-2,-4,-3,-1,-2,-1,-2,-2,-3,-1,-1,-2,-4,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
l_obliques,48,-1,-1,-1,-2,-4,-2,-1,-5,-2,-2,-2,-1,-2,-2,-3,-1,-1,-2,-5,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
r_obliques,49,-1,-1,-1,-2,-4,-1,-2,-4,-3,-1,-2,-1,-2,-2,-3,-1,-1,-2,-4,-2,-2,-2,-2,-1,-2,-3,-2,-2,-3,-2
l_si_joint,50,2,2,2,4,7,3,2,8,4,3,3,2,3,3,5,1,2,4,8,4,3,4,3,2,3,6,3,3,5,4
r_si_joint,51,2,2,2,4,7,2,3,7,5,2,3,2,3,2,5,1,2,4,7,4,3,4,3,2,3,6,2,3,5,4
l_psis_height,52,0,0,0,0,0,-2,2,0,-2,2,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0
r_psis_height,53,0,0,0,0,0,2,-2,0,2,-2,0,0,0,-2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
l_asis_height,54,0,0,0,0,0,-2,2,0,-2,2,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0
r_asis_height,55,0,0,0,0,0,2,-2,0,2,-2,0,0,0,-2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
l_hip_rotation,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_hip_rotation,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_hip_height,58,0,0,0,0,0,-2,2,0,-2,2,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0
r_hip_height,59,0,0,0,0,0,2,-2,0,2,-2,0,0,0,-2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
l_hip_shift,60,2,2,2,4,7,3,2,8,4,3,3,2,3,3,5,1,2,4,8,4,3,4,3,2,3,6,3,3,5,4
r_hip_shift,61,2,2,2,4,7,2,3,7,5,2,3,2,3,2,5,1,2,4,7,4,3,4,3,2,3,6,2,3,5,4
l_glute_tone,62,-2,-2,-2,-4,-7,-3,-2,-8,-4,-3,-3,-2,-3,-3,-5,-2,-2,-4,-8,-4,-3,-3,-3,-2,-3,-6,-3,-3,-5,-4
r_glute_tone,63,-2,-2,-2,-4,-7,-2,-3,-7,-5,-2,-3,-2,-3,-2,-5,-2,-2,-4,-7,-4,-3,-3,-3,-2,-3,-6,-2,-3,-5,-4
l_hip_flexor,64,-2,-2,-2,-4,-7,-3,-2,-8,-4,-3,-3,-2,-3,-3,-5,-2,-2,-4,-8,-4,-3,-3,-3,-2,-3,-6,-3,-3,-5,-4
r_hip_flexor,65,-2,-2,-2,-4,-7,-2,-3,-7,-5,-2,-3,-2,-3,-2,-5,-2,-2,-4,-7,-4,-3,-3,-3,-2,-3,-6,-2,-3,-5,-4
l_knee_alignment,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_knee_alignment,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_knee_rotation,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_knee_rotation,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_patella_tracking,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_patella_tracking,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_knee_hyperext,72,1,1,1,2,4,2,1,5,2,2,1,1,1,1,3,0,1,2,4,1,1,1,1,1,1,3,1,1,2,2
r_knee_hyperext,73,1,1,1,2,4,1,2,4,3,1,1,1,1,1,3,0,1,2,4,1,1,1,1,1,1,3,1,1,2,2
l_q_angle,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_q_angle,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_ankle_position,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_ankle_position,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_arch_height,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_arch_height,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_foot_rotation,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_foot_rotation,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_toe_position,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_toe_position,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus_pos,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus_pos,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus_pos,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus_pos,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_pressure,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_pressure,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_pressure,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_forefoot_pressure,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
l_lateral_pressure,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
r_lateral_pressure,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
l_medial_pressure,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2
r_medial_pressure,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
l_single_leg,100,0,0,0,0,2,2,0,3,2,2,0,0,0,0,2,0,0,2,3,0,0,0,0,2,0,3,2,0,3,2
r_single_leg,101,0,0,0,0,2,0,2,3,2,0,0,0,0,0,2,0,0,2,3,0,0,0,0,2,0,3,0,0,3,2
l_weight_shift,102,0,0,0,0,2,2,0,3,2,2,0,0,0,0,2,0,0,2,3,0,0,0,0,2,0,3,2,0,3,2
r_weight_shift,103,0,0,0,0,2,0,2,3,2,0,0,0,0,0,2,0,0,2,3,0,0,0,0,2,0,3,0,0,3,2
l_arm_raising,104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
r_arm_raising,105,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
squat_symmetry,106,0,0,0,0,0,2,-2,0,2,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gait_symmetry,107,0,0,0,0,0,2,-2,0,2,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
l_upper_pain,108,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,3,2,0,2,4,0,2,3,2,0,0,3,4,2
r_upper_pain,109,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,3,2,0,2,4,0,2,3,2,0,0,3,4,2
l_lower_pain,110,2,2,2,4,7,3,2,8,4,3,3,2,3,4,4,1,2,4,8,4,3,4,3,2,3,6,4,3,5,4
r_lower_pain,111,2,2,2,4,7,2,3,7,5,2,3,2,3,3,4,1,2,4,7,4,3,4,3,2,3,6,3,3,5,4
