User Posture Problem,,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture + Forward Head Posture,Slumped Sitting Posture + Rounded Shoulders,Slumped Sitting Posture + Kyphosis,Slumped Sitting Posture + Pelvic Tilt,Slumped Sitting Posture + Lordosis,Slumped Sitting Posture + Scoliosis,Slumped Sitting Posture + Text Neck,Slumped Sitting Posture + Flat Back Syndrome,Slumped Sitting Posture + Hyperlordosis,Slumped Sitting Posture + Kyphosis,Slumped Sitting Posture + Forward Head Posture + Kyphosis,Slumped Sitting Posture + Rounded Shoulders + Scoliosis,Slumped Sitting Posture + Pelvic Tilt + Lordosis,Slumped Sitting Posture + Kyphosis + Flat Back Syndrome,Slumped Sitting Posture + Forward Head Posture + Text Neck,Slumped Sitting Posture + Rounded Shoulders + Hyperlordosis,Slumped Sitting Posture + Scoliosis + Pelvic Tilt,Slumped Sitting Posture + Kyphosis + Forward Head Posture,Slumped Sitting Posture + Lordosis + Rounded Shoulders,Slumped Sitting Posture
r_lumbar_tension,38,-2,0,-1,0,-1,-3,0,-2,0,-1,-2,-3,-3,4,-4,-2,-2,0,5,-3,-4,-4,5,-2,-3,-3,-3,-5,-3,-3
l_lumbar_rotation,39,-1,0,-2,0,0,-1,0,-3,0,0,-2,-3,-3,0,-2,-3,-2,0,-2,-4,-5,-4,-2,-3,-3,-4,-4,-4,-4,-1
r_lumbar_rotation,40,-1,0,0,0,0,-2,0,-1,0,0,-2,-3,-3,0,-2,-2,-2,0,-2,-4,-5,-3,-2,-3,-3,-3,-4,-4,-4,-2
l_lumbar_sidebend,41,-1,0,-2,0,0,-1,0,-3,0,0,-2,-3,-3,0,-2,-3,-2,0,-2,-4,-5,-4,-2,-3,-3,-4,-4,-4,-4,-1
r_lumbar_sidebend,42,-1,0,0,0,0,-2,0,-1,0,0,-2,-3,-3,0,-2,-2,-2,0,-2,-4,-5,-3,-2,-3,-3,-3,-4,-4,-4,-2
lumbar_curve,43,2,1,3,1,0,2,1,4,2,1,2,3,3,5,6,3,2,0,7,3,4,6,6,2,3,4,3,6,3,2
l_upper_abs,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_upper_abs,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lower_abs,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_lower_abs,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_obliques,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_obliques,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_si_joint,50,1,0,2,0,0,1,0,3,0,0,1,2,4,2,2,2,1,0,3,2,3,4,4,1,2,3,4,3,2,1
r_si_joint,51,1,0,0,0,0,2,0,1,0,0,1,2,4,2,2,1,1,0,3,2,3,3,4,1,2,2,3,3,2,2
l_psis_height,52,0,0,1,0,0,0,0,2,0,0,0,1,2,1,1,1,0,0,2,1,2,3,2,0,1,2,3,2,1,0
r_psis_height,53,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,2,1,2,2,2,0,1,1,2,2,1,1
l_asis_height,54,0,0,1,0,0,0,0,2,0,0,0,1,2,1,1,1,0,0,2,1,2,3,2,0,1,2,3,2,1,0
r_asis_height,55,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,2,1,2,2,2,0,1,1,2,2,1,1
l_hip_rotation,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_hip_rotation,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_hip_height,58,0,0,1,0,0,0,0,2,0,0,0,1,2,1,1,1,0,0,2,1,2,3,2,0,1,2,3,2,1,0
r_hip_height,59,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,2,1,2,2,2,0,1,1,2,2,1,1
l_hip_shift,60,1,0,2,0,0,1,0,3,0,0,1,2,4,2,2,2,1,0,3,2,3,4,4,1,2,3,4,3,2,1
r_hip_shift,61,1,0,0,0,0,2,0,1,0,0,1,2,4,2,2,1,1,0,3,2,3,3,4,1,2,2,3,3,2,2
l_glute_tone,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_glute_tone,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_hip_flexor,64,-1,0,-2,0,0,-1,0,-3,0,0,-2,-3,-3,0,-2,-2,-2,0,-2,-3,-4,-3,-2,-2,-3,-3,-3,-3,-3,-1
r_hip_flexor,65,-1,0,0,0,0,-2,0,-1,0,0,-2,-3,-3,0,-2,-1,-2,0,-2,-3,-4,-2,-2,-2,-3,-2,-3,-3,-3,-2
l_knee_alignment,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_alignment,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_knee_rotation,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_rotation,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_patella_tracking,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_patella_tracking,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_knee_hyperext,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_hyperext,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_q_angle,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_q_angle,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_ankle_position,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_ankle_position,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_arch_height,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_arch_height,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_foot_rotation,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_foot_rotation,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_toe_position,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_toe_position,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus_pos,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus_pos,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus_pos,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus_pos,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_pressure,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_pressure,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_pressure,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_pressure,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lateral_pressure,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_lateral_pressure,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_medial_pressure,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_medial_pressure,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_single_leg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_single_leg,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_weight_shift,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_weight_shift,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_arm_raising,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_arm_raising,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squat_symmetry,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gait_symmetry,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_upper_pain,108,2,0,3,0,1,2,0,4,0,1,3,4,4,0,2,2,3,0,2,4,5,4,0,4,4,4,4,4,5,2
r_upper_pain,109,2,0,1,0,1,3,0,2,0,1,3,4,4,0,2,1,3,0,2,4,5,3,0,4,4,3,4,4,5,3
l_lower_pain,110,1,0,2,0,0,1,0,3,0,0,1,2,3,2,3,2,1,0,3,2,3,4,4,1,2,3,4,4,2,1
r_lower_pain,111,1,0,0,0,0,2,0,1,0,0,1,2,3,2,3,1,1,0,3,2,3,3,4,1,2,2,3,4,2,2
