,User posture problem,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck + Forward Head Posture,Text Neck + Rounded Shoulders,Text Neck + Kyphosis,Text Neck + Scoliosis,Text Neck + Pelvic Tilt,Text Neck + Flat Back Syndrome,Text Neck + Hyperlordosis,Text Neck + Slumped Sitting Posture,Text Neck + Lordosis,Text Neck + Scoliosis,Text Neck + Forward Head Posture + Rounded Shoulders,Text Neck + Kyphosis + Slumped Sitting Posture,Text Neck + Scoliosis + Pelvic Tilt,Text Neck + Flat Back Syndrome + Rounded Shoulders,Text Neck + Lordosis + Pelvic Tilt,Text Neck + Forward Head Posture + Scoliosis,Text Neck + Kyphosis + Rounded Shoulders,Text Neck + Slumped Sitting Posture + Forward Head Posture,Text Neck + Pelvic Tilt + Hyperlordosis,Text Neck + Hyperlordosis + Rounded Shoulders
r_ear_shoulder,9,2,2,3,4,4,5,7,7,8,2,3,4,5,2,3,4,2,5,3,5,7,8,4,5,7,6,8,5,7
l_neck_tilt,10,-1,-2,-2,-3,-4,-4,-6,-7,-8,-2,-2,-3,-4,-2,-2,-3,-2,-4,-2,-4,-5,-6,-3,-4,-5,-5,-6,-4,-5
r_neck_tilt,11,-1,-1,-3,-3,-3,-5,-6,-6,-9,-2,-2,-3,-4,-2,-2,-3,-2,-4,-2,-4,-5,-6,-3,-4,-5,-5,-6,-4,-5
l_neck_rotation,12,-1,-2,-2,-3,-4,-4,-6,-7,-8,-2,-2,-3,-4,-2,-2,-3,-2,-4,-2,-4,-5,-6,-3,-4,-5,-5,-6,-4,-5
r_neck_rotation,13,-1,-1,-3,-3,-3,-5,-6,-6,-9,-2,-2,-3,-4,-2,-2,-3,-2,-4,-2,-4,-5,-6,-3,-4,-5,-5,-6,-4,-5
neck_forward,14,2,2,3,4,4,5,7,7,8,3,3,4,5,2,3,4,2,5,3,5,7,8,4,5,7,6,8,5,7
l_shoulder_height,15,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,2,0,0,-1,0,0,-3,0,0,0,0
r_shoulder_height,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2,0,0,1,0,0,3,0,0,0,0
l_shoulder_forward,17,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,4,5,2,3,0,2,5,0,0,3
r_shoulder_forward,18,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,5,5,3,3,0,3,6,0,0,4
l_scapula_position,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,1,0,1,2,0,0,1
r_scapula_position,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,1,0,1,2,0,0,1
l_scapula_winging,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_scapula_winging,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_pec_tension,23,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-2,-2,-1,-1,0,0,-2,0,0,-1
r_pec_tension,24,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-2,-2,-1,-1,0,0,-2,0,0,-1
l_ribcage_position,25,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0,-2,0,0,0,0
r_ribcage_position,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,2,0,0,0,0
l_breathing_pattern,27,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-2,-2,-1,-1,0,0,-2,0,0,-1
r_breathing_pattern,28,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-2,-2,-1,-1,0,0,-2,0,0,-1
l_thoracic_rotation,29,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,-2,0,-2,-1,0,0,-3,0,0,0,0
r_thoracic_rotation,30,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,2,0,-2,1,0,0,3,0,0,0,0
l_thoracic_tension,31,-1,-2,-2,-3,-4,-4,-6,-7,-8,-2,-2,-3,-4,-2,-2,-3,-2,-4,-2,-4,-5,-6,-3,-4,-5,-5,-6,-4,-5
r_thoracic_tension,32,-1,-1,-3,-3,-3,-5,-6,-6,-9,-2,-2,-3,-4,-2,-2,-3,-2,-4,-2,-4,-5,-6,-3,-4,-5,-5,-6,-4,-5
l_thoracic_flexibility,33,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,-2,0,-2,-1,0,0,-3,0,0,0,0
r_thoracic_flexibility,34,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,2,0,-2,1,0,0,3,0,0,0,0
thoracic_curve,35,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,5,2,1,0,0,4,0,0,2
spine_curve_coronal,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2,0,0,4,0,0,5,0,0,0,0
l_lumbar_tension,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-2,0,2,0,0,0,-2,0
r_lumbar_tension,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-2,0,2,0,0,0,-2,0
l_lumbar_rotation,39,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-2,0,0,0,0
r_lumbar_rotation,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
l_lumbar_sidebend,41,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-1,0,0,-3,0,0,0,0
r_lumbar_sidebend,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0
lumbar_curve,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,3,0,0,0,0,-1,4,0,0,0,5,3
l_upper_abs,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_upper_abs,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lower_abs,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_lower_abs,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_obliques,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_obliques,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_si_joint,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-2,0,3,0,0,0,4,0
r_si_joint,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-2,0,3,0,0,0,4,0
l_psis_height,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,2,0
r_psis_height,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,2,0
l_asis_height,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,2,0,0,0,3,0
r_asis_height,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,2,0,0,0,3,0
l_hip_rotation,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_hip_rotation,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_hip_height,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,2,0
r_hip_height,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,-2,0
l_hip_shift,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_hip_shift,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_glute_tone,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_glute_tone,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_hip_flexor,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-2,0,0,0,-3,0
r_hip_flexor,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-2,0,0,0,-3,0
l_knee_alignment,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_alignment,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_knee_rotation,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_rotation,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_patella_tracking,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_patella_tracking,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_knee_hyperext,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_hyperext,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_q_angle,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_q_angle,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_ankle_position,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_ankle_position,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_arch_height,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_arch_height,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_foot_rotation,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_foot_rotation,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_toe_position,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_toe_position,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus_pos,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus_pos,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus_pos,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus_pos,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_pressure,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_pressure,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_pressure,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_pressure,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lateral_pressure,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_lateral_pressure,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_medial_pressure,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_medial_pressure,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_single_leg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0
r_single_leg,101,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-2,0,0,-2,0,0,0,0
l_weight_shift,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0
r_weight_shift,103,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-2,0,0,-2,0,0,0,0
l_arm_raising,104,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,1,0,0,2,0,0,1
r_arm_raising,105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,1,0,0,2,0,0,1
squat_symmetry,106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,2,0,0,0,0
gait_symmetry,107,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,2,0,0,0,0
l_upper_pain,108,1,2,2,3,4,4,6,7,8,2,2,2,3,2,2,2,2,4,2,4,5,6,3,4,5,5,6,4,5
r_upper_pain,109,1,1,3,3,3,5,6,6,9,2,2,2,3,2,2,2,2,4,2,4,5,6,3,4,5,5,6,4,5
l_lower_pain,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0
r_lower_pain,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0
