Number,Name,Side,Difficulty,How to Do It
61,Hanumanasana,Right,Advanced,"From a kneeling lunge, extend the right leg forward while sliding the left leg back gradually to achieve a full split. Keep the hips squared and the torso upright."
62,Hanumanasana,Left,Advanced,"From a kneeling lunge, extend the left leg forward while sliding the right leg back to form a full split. Ensure the hips remain squared and the torso stays upright."
63,Eka Pada Rajakapotasana,Right,Intermediate,"Begin in a kneeling lunge with the right leg forward. Bend the right knee and draw the right foot toward the left hip while extending the left leg back. Optionally, incorporate a gentle backbend by lifting the chest."
64,Eka Pada Rajakapotasana,Left,Intermediate,"From a kneeling lunge, bend the left knee and bring the left foot toward the right hip while extending the right leg back. Optionally, lift the chest into a gentle backbend for added stretch."
65,Gomukhasana,Right,Intermediate,"Sit on the floor with legs extended. Cross the right leg over the left so that the right knee stacks above the left, bringing the right foot to rest near the left hip. Reach the left arm over the right shoulder and the right arm behind the back to clasp hands or hold a strap."
66,Gomukhasana,Left,Intermediate,"Sit on the floor with legs extended. Cross the left leg over the right so that the left knee stacks above the right, bringing the left foot near the right hip. Reach the right arm over the left shoulder and the left arm behind your back to clasp hands or hold a strap."
67,Bharadvajasana,Right,Moderate,"Sit in a comfortable position with legs extended or crossed. For the right variation, keep your right leg extended and, if needed, slightly bend the left leg. Place your left hand on your right knee and your right hand on the floor behind you. Twist your torso to the right."
68,Bharadvajasana,Left,Moderate,"Sit comfortably with legs extended or crossed. For the left variation, keep your left leg extended. Place your right hand on your left knee and your left hand on the floor behind you. Twist your torso to the left."
69,Marichyasana I,Right,Intermediate,"Sit on the floor with legs extended. Bend your right knee and place the right foot flat near the left thigh while keeping the left leg extended. Inhale to lengthen the spine, then exhale and twist to the right by bringing the left elbow to the outside of the right knee while gazing over the right shoulder."
70,Marichyasana I,Left,Intermediate,"Sit on the floor with legs extended. Bend your left knee and place the left foot flat near the right thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and twist to the left by bringing the right elbow to the outside of the left knee while gazing over the left shoulder."
71,Marichyasana III,Right,Intermediate,"Sit on the floor with legs extended. Bend your right knee and place the right foot on the floor near the outer side of the left thigh while keeping the left leg extended. Inhale to lengthen the spine, then exhale and twist to the right. Bring your left elbow to the outside of your right knee while reaching your right hand behind your back."
72,Marichyasana III,Left,Intermediate,"Sit on the floor with legs extended. Bend your left knee and place the left foot on the floor near the outer side of the right thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and twist to the left. Bring your right elbow to the outside of your left knee while reaching your left hand behind your back."
73,Ardha Matsyendrasana,Right,Intermediate,"Sit on the floor with legs extended. Bend your right knee and place the right foot on the floor near the outside of the left thigh. Bend the left knee and bring the left foot close to the right hip. Inhale to lengthen the spine, then exhale and twist to the right, using your left elbow against the outside of your right knee while your right hand rests behind you."
74,Ardha Matsyendrasana,Left,Intermediate,"Sit on the floor with legs extended. Bend your left knee and place the left foot on the floor near the outside of the right thigh. Bend the right knee and bring the right foot close to the left hip. Inhale, then exhale and twist to the left, bringing your right elbow to the outside of your left knee while your left hand rests behind you."
75,Parivrtta Janu Sirsasana,Right,Intermediate,"Sit on the floor with both legs extended. Bend the right knee and draw the right foot toward the inner left thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended left leg while introducing a gentle twist to the right. Reach the right arm around the right leg and extend the left arm across the body."
76,Parivrtta Janu Sirsasana,Left,Intermediate,"Sit on the floor with both legs extended. Bend the left knee and draw the left foot toward the inner right thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended right leg while incorporating a gentle twist to the left. Reach the left arm around the left leg and extend the right arm across the body."
77,Janu Sirsasana,Right,Moderate,"Sit on the floor with both legs extended. Bend the right knee and bring the right foot to rest near the inner left thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended left leg."
78,Janu Sirsasana,Left,Moderate,"Sit on the floor with both legs extended. Bend the left knee and bring the left foot to rest near the inner right thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended right leg."
79,Triang Mukhaikapada Paschimottanasana,Right,Intermediate,"Sit on the floor with both legs extended. Bend the right knee so that the right foot is placed against the inner thigh of the left leg. Inhale to lengthen the spine, then exhale and fold forward over the left leg, reaching toward the right foot with the right hand while the left hand supports the left leg."
80,Triang Mukhaikapada Paschimottanasana,Left,Intermediate,"Sit on the floor with both legs extended. Bend the left knee so that the left foot is placed against the inner thigh of the right leg. Inhale to lengthen the spine, then exhale and fold forward over the right leg, reaching toward the left foot with the left hand while the right hand supports the right leg."
81,Vasisthasana,Right,Intermediate,"Begin in a forearm plank position. Shift your weight onto your right forearm and the outer edge of your right foot. Extend your left leg fully, keeping it either stacked on top of your right or slightly lifted. Optionally, raise your left arm for an added challenge."
82,Vasisthasana,Left,Intermediate,"Assume a side plank position on your left forearm. Shift your weight onto your left forearm and the outer edge of your left foot. Extend your right leg fully, either stacking it over your left or keeping it slightly raised. Optionally, raise your right arm to intensify the pose."
83,Utthita Hasta Padangusthasana,Right,Advanced,"Stand in Tadasana and shift your weight onto your right leg. Lift your right leg and, using a yoga strap if necessary, grasp your right big toe with your right hand while extending the leg forward. Let your left hand rest on your hip for balance."
84,Utthita Hasta Padangusthasana,Left,Advanced,"From Tadasana, shift your weight onto your left leg. Lift your left leg and, using a yoga strap if needed, grasp your left big toe with your left hand while extending the leg forward. Allow your right hand to rest on your hip."
85,Natarajasana,Right,Advanced,"Stand in Tadasana and shift your weight onto your right leg. Bend your right knee and, with your right hand, reach back to grasp your right ankle. Simultaneously, extend your left arm forward for balance as you gently arch your torso to open your chest."
86,Natarajasana,Left,Advanced,Stand in Tadasana and shift your weight onto your left leg. Bend your left knee and reach your left hand back to grasp your left ankle while extending your right arm forward for balance.
87,Vrksasana,Right,Moderate,Stand in Tadasana and shift your weight onto your right leg. Place your right foot on your inner right calf or thigh (avoiding the knee). Bring your hands into prayer at your chest and focus your gaze on a fixed point.
88,Vrksasana,Left,Moderate,Stand in Tadasana and shift your weight onto your left leg. Place your left foot on your inner left calf or thigh (avoiding the knee). Bring your hands together in prayer at your chest and fix your gaze forward.
89,Parsva Bakasana,Right,Expert,"Start in a squat with your feet wide apart. Place your hands on the mat, then shift your weight onto your right hand while twisting your torso to the right. Simultaneously, lift your legs off the ground to maintain the twist, balancing on your right arm."
90,Parsva Bakasana,Left,Expert,"Begin in a squat with your feet wide apart. Place your hands on the mat, then shift your weight onto your left hand while twisting your torso to the left. Lift your legs off the ground as you maintain the twist, balancing on your left arm."
91,Visvamitrasana,Right,Expert,"Stand in Tadasana. Shift your weight onto your right leg and pivot your right foot slightly outward. Inhale and as you exhale, twist your torso to the right, bringing your left hand to rest on your right thigh (or near the right knee) while extending your right arm either overhead or behind you."
92,Visvamitrasana,Left,Expert,"Stand in Tadasana. Shift your weight onto your left leg and pivot your left foot slightly outward. Inhale and as you exhale, twist your torso to the left, bringing your right hand to rest on your left thigh (or near the left knee) while extending your left arm either overhead or behind you."
93,Parivrtta Surya Yantrasana,Right,Expert,"Assume a stable stance or kneeling position. With the right leg as the pivot, twist your torso to the right. Extend your left leg while simultaneously reaching your right arm upward and bringing your left arm behind your right leg."
94,Parivrtta Surya Yantrasana,Left,Expert,"From a stable or kneeling position, use the left leg as the pivot. Twist your torso to the left by extending your right leg and bringing your left arm upward while reaching your right arm behind the left leg."
95,Mandalasana,Right,Moderate,"Sit on the floor with your legs crossed. For the right variation, lean slightly to the right while twisting your torso so that the right shoulder moves forward and the left shoulder recedes. Your hands may rest on your knees or in your lap to deepen the twist."
96,Mandalasana,Left,Moderate,"Sit comfortably with your legs crossed. For the left variation, lean slightly to the left so that the left shoulder moves forward and the right shoulder recedes. Allow your hands to rest on your knees or in your lap to facilitate the twist."
97,Purna Matsyendrasana,Right,Advanced,"Sit on the floor with legs extended. Bend your right knee and place the right foot on the outside of the left thigh while keeping the left leg extended. Inhale to lengthen the spine, then exhale and twist to the right, placing your left elbow on the outside of your right knee and your right hand behind you."
98,Purna Matsyendrasana,Left,Advanced,"Sit with your legs extended. Bend your left knee and place the left foot on the outside of the right thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and twist to the left, placing your right elbow on the outside of your left knee while your left hand rests behind you."
99,Akarna Dhanurasana,Right,Advanced,"Lie on your stomach. Bend your right knee and reach back with your right hand to grasp your right foot, drawing it toward your right buttock. Optionally, lift your chest slightly to deepen the stretch on the right side."
100,Akarna Dhanurasana,Left,Advanced,"Lie on your stomach. Bend your left knee and reach back with your left hand to grasp your left foot, drawing it toward your left buttock. Optionally, lift your chest gently to enhance the stretch on the left side."
101,Skandasana,Right,Intermediate,"From Tadasana, step wide to the right, bend the right knee deeply while keeping the left leg straight, and lower the hips toward the right knee. Keep the right foot flat on the ground."
102,Skandasana,Left,Intermediate,"From Tadasana, step wide to the left, bend the left knee deeply while keeping the right leg straight, and lower the hips toward the left knee. Keep the left foot flat on the ground."
103,Eka Pada Koundinyasana I,Right,Expert,"From a low lunge, place your right hand on the mat near your right foot. Shift your weight onto your right arm while extending your left leg parallel to the floor, and twist your torso slightly to counterbalance."
104,Eka Pada Koundinyasana I,Left,Expert,"From a low lunge, place your left hand on the mat near your left foot. Shift your weight onto your left arm while extending your right leg parallel to the floor, maintaining a slight twist in the torso for balance."
105,Eka Pada Koundinyasana II,Right,Expert,"From a crouched position, place your right hand on the mat and lift your body while extending both legs—using the right side as the pivot and extending the left leg outward. Maintain a twist in the torso for balance."
106,Eka Pada Koundinyasana II,Left,Expert,"From a crouched position, place your left hand on the mat and lift your body while extending both legs—using the left side as the pivot and extending the right leg outward. Maintain a twist in the torso for balance."
107,Durvasasana,Right,Expert,"From a seated position, lean to the right and place your right hand on the mat for support. Wrap your legs if possible and balance on your right hand while engaging your core to lift your body, creating an advanced arm balance with a twist to the right."
108,Durvasasana,Left,Expert,"From a seated position, lean to the left and place your left hand on the mat for support. Wrap your legs if possible and balance on your left hand while engaging your core to lift your body into an advanced arm balance with a twist to the left."
109,Vatayanasana,Right,Moderate,"Stand in Tadasana, shift your weight onto your right leg, and with your right hand on your hip, slowly bend to the right, extending your left arm overhead to create a deep lateral stretch."
110,Vatayanasana,Left,Moderate,"Stand in Tadasana, shift your weight onto your left leg, and with your left hand on your hip, slowly bend to the left, extending your right arm overhead to create a deep lateral stretch."
111,Vamadevasana,Right,Moderate,"Lie on your stomach with your legs extended. In this right variation, gently lift your right leg off the mat while keeping your upper body relaxed and your chest low. Maintain a subtle arch in your lower back."
112,Vamadevasana,Left,Moderate,"Lie prone with your legs extended. For the left variation, slowly raise your left leg while keeping your upper body stable and your head neutral, allowing a slight lift in the lower back."
113,Ardha Baddha Padmottanasana,Right,Advanced,"Sit with legs extended. Bend your right knee and place the right foot on the inner thigh while keeping the left leg extended. Inhale to lengthen the spine, then exhale and fold forward over the left leg."
114,Ardha Baddha Padmottanasana,Left,Advanced,"Sit with legs extended. Bend your left knee and bring the left foot to rest on the inner thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and fold forward over the right leg."
115,Ardha Baddha Padma Paschimottanasana,Right,Advanced,"Sit with legs extended. Bring the right foot into a bound half-lotus position on the inner thigh while keeping the left leg extended. Inhale, then exhale and fold forward over the left leg with a gentle twist emphasizing the right side."
116,Ardha Baddha Padma Paschimottanasana,Left,Advanced,"Sit with legs extended. Bring the left foot into a bound half-lotus position on the inner thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and fold forward over the right leg with a gentle twist emphasizing the left side."
117,Parivrtta Ardha Chandrasana,Right,Advanced,"From Tadasana, shift your weight onto your right leg. Hinge at the right hip and lean to the right while twisting your torso so that your left arm crosses over your body."
118,Parivrtta Ardha Chandrasana,Left,Advanced,"From Tadasana, shift your weight onto your left leg. Hinge at the left hip and lean to the left while twisting your torso so that your right arm crosses over your body."
119,Supta Padangusthasana,Right,Moderate,Lie on your back with your legs extended. Bend your right knee and loop a yoga strap around the arch of your right foot. Extend your right leg upward while keeping the left leg grounded.
120,Supta Padangusthasana,Left,Moderate,Lie on your back with your legs extended. Bend your left knee and loop a yoga strap around the arch of your left foot. Extend your left leg upward while keeping the right leg grounded.
121,Supta Matsyendrasana,Right,Easy,"Lie on your back, bend your knees, and draw them into your chest. Then, gently allow your knees to drop to the right side while keeping your shoulders flat on the mat. Extend your arms out to the sides for support."
122,Supta Matsyendrasana,Left,Easy,Lie on your back with your knees bent. Draw your knees into your chest and then slowly let them drop to the left side while turning your head to the right to intensify the twist.
123,Parivrtta Utkatasana,Right,Intermediate,"From Tadasana (Mountain Pose), shift your weight onto your right leg. In Utkatasana (Chair Pose), bend the right knee and twist your torso to the right by bringing your left elbow toward your right knee while extending your right arm backward."
124,Parivrtta Utkatasana,Left,Intermediate,"From Tadasana, shift your weight onto your left leg. Enter Utkatasana by bending the left knee and twist your torso to the left by bringing your right elbow toward your left knee while extending your left arm backward."
125,Parivrtta Bakasana,Right,Expert,"Begin in Bakasana (Crow Pose). Shift your weight onto your right arm and, while maintaining balance, twist your torso to the right. Extend your right arm upward as you guide your left arm for counterbalance."
126,Parivrtta Bakasana,Left,Expert,"From Bakasana, shift your weight onto your left arm and twist your torso to the left. Extend your left arm upward for balance while the right arm supports the twist."
127,Parivrtta Paschimottanasana,Right,Intermediate,"Sit on the floor with your legs extended. Bend the right knee and draw the right foot toward the inner thigh, keeping the left leg extended. Inhale to lengthen the spine, then exhale as you twist to the right, wrapping your left arm around the right leg and placing your right hand behind you."
128,Parivrtta Paschimottanasana,Left,Intermediate,"Sit on the floor with your legs extended. Bend the left knee and bring the left foot toward the inner thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and twist to the left, wrapping your right arm around the left leg and placing your left hand behind you."
