ItemNumber,Type,PrimaryRegion,Side,Name,OtherRegions,l_tmj_tension,r_tmj_tension,l_jaw_position,r_jaw_position,l_head_weight,r_head_weight,head_tilt_sagittal,l_ear_shoulder,r_ear_shoulder,l_neck_tilt,r_neck_tilt,l_neck_rotation,r_neck_rotation,neck_forward,l_shoulder_height,r_shoulder_height,l_shoulder_forward,r_shoulder_forward,l_scapula_position,r_scapula_position,l_scapula_winging,r_scapula_winging,l_pec_tension,r_pec_tension,l_ribcage_position,r_ribcage_position,l_breathing_pattern,r_breathing_pattern,l_thoracic_rotation,r_thoracic_rotation,l_thoracic_tension,r_thoracic_tension,l_thoracic_flexibility,r_thoracic_flexibility,thoracic_curve,l_lumbar_tension,r_lumbar_tension,l_lumbar_rotation,r_lumbar_rotation,l_lumbar_sidebend,r_lumbar_sidebend,lumbar_curve,l_upper_abs,r_upper_abs,l_lower_abs,r_lower_abs,l_obliques,r_obliques,l_si_joint,r_si_joint,l_psis_height,r_psis_height,l_asis_height,r_asis_height,l_hip_rotation,r_hip_rotation,l_hip_height,r_hip_height,l_hip_shift,r_hip_shift,l_glute_tone,r_glute_tone,l_hip_flexor,r_hip_flexor,l_knee_alignment,r_knee_alignment,l_knee_rotation,r_knee_rotation,l_patella_tracking,r_patella_tracking,l_knee_hyperext,r_knee_hyperext,l_q_angle,r_q_angle,l_ankle_position,r_ankle_position,l_arch_height,r_arch_height,l_foot_rotation,r_foot_rotation,l_toe_position,r_toe_position,l_heel_callus,l_heel_callus_pos,r_heel_callus,r_heel_callus_pos,l_forefoot_callus,l_forefoot_callus_pos,r_forefoot_callus,r_forefoot_callus_pos,l_heel_pressure,r_heel_pressure,l_forefoot_pressure,r_forefoot_pressure,l_lateral_pressure,r_lateral_pressure,l_medial_pressure,r_medial_pressure,l_single_leg,r_single_leg,l_weight_shift,r_weight_shift,l_arm_raising,r_arm_raising,squat_symmetry,gait_symmetry,,l_upper_pain,r_upper_pain,l_lower_pain,r_lower_pain
11,MUSCLE,Head & TMJ,Left,Mylohyoid,[Cervical],-0.1,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
12,MUSCLE,Head & TMJ,Right,Mylohyoid,[Cervical],,-0.1,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
13,MUSCLE,Head & TMJ,Left,Stylohyoid,[Cervical],-0.1,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
14,MUSCLE,Head & TMJ,Right,Stylohyoid,[Cervical],,-0.1,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
15,MUSCLE,Head & TMJ,Left,Sternohyoid,[Cervical],-0.05,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
16,MUSCLE,Head & TMJ,Right,Sternohyoid,[Cervical],,-0.05,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
17,MUSCLE,Head & TMJ,Left,Sternothyroid,[Cervical],-0.05,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
18,MUSCLE,Head & TMJ,Right,Sternothyroid,[Cervical],,-0.05,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
19,MUSCLE,Head & TMJ,Left,Omohyoid,[Cervical],-0.05,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
20,MUSCLE,Head & TMJ,Right,Omohyoid,[Cervical],,-0.05,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
21,MUSCLE,Head & TMJ,Left,Thyrohyoid,[Cervical],-0.05,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
22,MUSCLE,Head & TMJ,Right,Thyrohyoid,[Cervical],,-0.05,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
23,FASCIA,Head & TMJ,Left,Temporalis Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
24,FASCIA,Head & TMJ,Right,Temporalis Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
25,FASCIA,Head & TMJ,Left,Superficial Fascia of Face/Scalp,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
26,FASCIA,Head & TMJ,Right,Superficial Fascia of Face/Scalp,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
27,MUSCLE,Cervical,Left,Longus Capitis,[],,,,,0.2,-0.2,0.4,0.1,-0.1,0.3,-0.3,0.2,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,0.06,,0.06,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,,   
28,MUSCLE,Cervical,Right,Longus Capitis,[],,,,,-0.2,0.2,0.4,-0.1,0.1,-0.3,0.3,0.2,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,0.06,,0.06,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.7,,  
29,MUSCLE,Cervical,Left,Longus Colli,[],,,,,0.25,-0.25,0.5,0.15,-0.15,0.35,-0.35,0.25,0.15,0.6,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,0.05,,0.05,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,,     
30,MUSCLE,Cervical,Right,Longus Colli,[],,,,,-0.25,0.25,0.5,-0.15,0.15,-0.35,0.35,0.25,0.15,0.6,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,0.05,,0.05,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.7,,
31,MUSCLE,Cervical,Left,Rectus Capitis Anterior,[],,,,,0.3,-0.3,0.55,0.1,-0.1,0.3,-0.3,0.25,0.1,0.55,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,, 
32,MUSCLE,Cervical,Right,Rectus Capitis Anterior,[],,,,,-0.3,0.3,0.55,-0.1,0.1,-0.3,0.3,0.25,0.1,0.55,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.7,,
33,MUSCLE,Cervical,Left,Sternocleidomastoid,[Head & TMJ Region : Thoracic Region],,,,,-0.6,0.6,0.2,-0.1,0.1,-0.6,0.6,-0.2,-0.25,-0.7,,,,,,,,,-0.3,,-0.2,,-0.25,,,,-0.2,,-0.2,,-0.15,,-0.1,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.3,,     
34,MUSCLE,Cervical,Right,Sternocleidomastoid,[Head & TMJ Region : Thoracic Region],,,,,0.6,-0.6,0.2,0.1,-0.1,0.6,-0.6,-0.2,-0.25,-0.7,,,,,,,,,,-0.3,,-0.2,,-0.25,,,,-0.2,,-0.2,-0.15,-0.1,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.7,,
35,MUSCLE,Cervical,Left,Scalenes (Anterior),[Thoracic Region],,,,,-0.55,0.55,0.15,,,-0.5,0.5,-0.15,-0.1,-0.4,,,,,,,,,-0.35,,-0.2,,-0.2,,,,-0.2,,-0.2,,-0.15,,-0.1,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
36,MUSCLE,Cervical,Right,Scalenes (Anterior),[Thoracic Region],,,,,0.55,-0.55,0.15,,,0.5,-0.5,-0.15,-0.1,-0.4,,,,,,,,,,-0.35,,-0.2,,-0.2,,,,-0.2,,-0.2,-0.15,-0.1,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
37,MUSCLE,Cervical,Left,Scalenes (Middle),[Thoracic Region],,,,,-0.55,0.55,0.15,,,-0.55,0.55,-0.15,-0.1,-0.35,,,,,,,,,-0.35,,-0.2,,-0.2,,,,-0.2,,-0.2,,-0.15,,-0.1,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
38,MUSCLE,Cervical,Right,Scalenes (Middle),[Thoracic Region],,,,,0.55,-0.55,0.15,,,0.55,-0.55,-0.15,-0.1,-0.35,,,,,,,,,,-0.35,,-0.2,,-0.2,,,,-0.2,,-0.2,-0.15,-0.1,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
39,MUSCLE,Cervical,Left,Scalenes (Posterior),[Thoracic Region],,,,,-0.5,0.5,0.1,,,-0.5,0.5,-0.15,-0.1,-0.3,,,,,,,,,-0.35,,-0.2,,-0.2,,,,-0.2,,-0.2,,-0.15,,-0.1,,,,,,,0.05,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
40,MUSCLE,Cervical,Right,Scalenes (Posterior),[Thoracic Region],,,,,0.5,-0.5,0.1,,,0.5,-0.5,-0.15,-0.1,-0.3,,,,,,,,,,-0.35,,-0.2,,-0.2,,,,-0.2,,-0.2,-0.15,-0.1,,,,,,,0.05,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
41,MUSCLE,Cervical,Left,Rectus Capitis Posterior Major,[Head & TMJ Region],,,,,-0.45,-0.45,-0.6,,0.1,-0.4,-0.4,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.3,,  
42,MUSCLE,Cervical,Right,Rectus Capitis Posterior Major,[Head & TMJ Region],,,,,-0.45,-0.45,-0.6,,0.1,-0.4,-0.4,,,-0.75,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.7,,
43,MUSCLE,Cervical,Left,Rectus Capitis Posterior Minor,[Head & TMJ Region],,,,,-0.5,-0.5,-0.7,,,-0.45,-0.45,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.3,,
44,MUSCLE,Cervical,Right,Rectus Capitis Posterior Minor,[Head & TMJ Region],,,,,-0.5,-0.5,-0.7,,,-0.45,-0.45,,,-0.8,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.7,,
45,MUSCLE,Cervical,Left,Obliquus Capitis Superior,[Head & TMJ Region],,,,,-0.5,-0.5,-0.7,,,-0.4,-0.4,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.3,,
46,MUSCLE,Cervical,Right,Obliquus Capitis Superior,[Head & TMJ Region],,,,,-0.5,-0.5,-0.7,,,-0.4,-0.4,,,-0.75,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.7,,
47,MUSCLE,Cervical,Left,Obliquus Capitis Inferior,[],,,,,,,,,,-0.4,-0.4,-0.25,-0.25,-0.6,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.3,,
48,MUSCLE,Cervical,Right,Obliquus Capitis Inferior,[],,,,,,,,,,-0.4,-0.4,-0.25,-0.25,-0.6,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.7,,
49,MUSCLE,Cervical,Left,Splenius Capitis,[],,,,,-0.4,-0.4,-0.6,,,-0.35,-0.35,-0.2,-0.2,-0.55,,,,,,,,,,,,,,,,,-0.2,,-0.2,,-0.15,,-0.1,,,,,,0.2,,0.2,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
50,MUSCLE,Cervical,Right,Splenius Capitis,[],,,,,-0.4,-0.4,-0.6,,,-0.35,-0.35,-0.2,-0.2,-0.55,,,,,,,,,,,,,,,,,,-0.2,,-0.2,-0.15,-0.1,,,,,,,,0.2,,0.2,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
51,MUSCLE,Cervical,Left,Splenius Cervicis,[],,,,,-0.3,-0.3,-0.5,,,-0.4,0.4,-0.1,-0.05,-0.2,,,,,,,,,,,,,,,,,-0.2,,-0.2,,-0.15,,-0.1,,,,,,0.2,,0.2,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
52,MUSCLE,Cervical,Right,Splenius Cervicis,[],,,,,-0.3,-0.3,-0.5,,,0.4,-0.4,-0.1,-0.05,-0.2,,,,,,,,,,,,,,,,,,-0.2,,-0.2,-0.15,-0.1,,,,,,,,0.2,,0.2,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
53,MUSCLE,Cervical,Left,Levator Scapulae,[Shoulder Girdle & Scapular Region],,,,,-0.3,0.3,0.15,,,-0.5,0.5,-0.1,-0.1,-0.65,-0.6,0.6,-0.2,0.2,-0.1,0.1,-0.1,0.1,-0.2,,,-0.1,-0.1,,,,-0.25,,-0.25,,-0.2,,-0.1,,,,,,-0.1,,,-0.1,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,          ,,-0.7,-0.3,,     
54,MUSCLE,Cervical,Right,Levator Scapulae,[Shoulder Girdle & Scapular Region],,,,,0.3,-0.3,0.15,,,0.5,-0.5,-0.1,-0.1,-0.65,0.6,-0.6,0.2,-0.2,0.1,-0.1,0.1,-0.1,,-0.2,,-0.1,,-0.1,,,,-0.25,,-0.25,-0.2,-0.1,,,,,,,,,-0.1,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,,-0.3,-0.7,,
55,MUSCLE,Cervical,Left,Upper Trapezius,[Head & TMJ Region : Shoulder Girdle & Scapular Region],,,,,-0.45,0.45,-0.5,-0.25,0.25,,,,,,-0.4,0.4,-0.5,0.5,-0.25,0.25,,,-0.35,,-0.15,,-0.2,,,,-0.3,,-0.3,,-0.25,,-0.1,,,,,,-0.2,,,-0.2,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,          ,,-0.7,-0.3,,   
56,MUSCLE,Cervical,Right,Upper Trapezius,[Head & TMJ Region : Shoulder Girdle & Scapular Region],,,,,0.45,-0.45,-0.5,0.25,-0.25,,,,,,0.4,-0.4,0.5,-0.5,0.25,-0.25,,,,-0.35,,-0.15,,-0.2,,,,-0.3,,-0.3,-0.25,,,,,,,,,,-0.2,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,-0.3,-0.7,,
57,FASCIA,Cervical,Center,Nuchal Ligament,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
58,FASCIA,Cervical,Left,Prevertebral Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
59,FASCIA,Cervical,Right,Prevertebral Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
60,FASCIA,Cervical,Left,Suboccipital Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
61,FASCIA,Cervical,Right,Suboccipital Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
62,MUSCLE,Shoulder Girdle & Scapular Region,Left,Middle Trapezius,[Thoracic Region],,,,,,,,,,,,,,,-0.3,0.3,-0.4,0.4,-0.25,0.25,-0.1,0.1,0.25,,, ,,,,,-0.5,,-0.5,,0.6,,,,-0.1,,-0.1,-0.1,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
63,MUSCLE,Shoulder Girdle & Scapular Region,Right,Middle Trapezius,[Thoracic Region],,,,,,,,,,,,,,,0.3,-0.3,0.4,-0.4,0.25,-0.25,0.1,-0.1,,0.25, ,, ,,,,,-0.5,,-0.5,0.6,,,-0.1,,,-0.1,-0.1,,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
64,MUSCLE,Shoulder Girdle & Scapular Region,Left,Lower Trapezius,[Thoracic Region],,,,,,,,,,,,,,,-0.15,0.15,-0.3,0.3,-0.1,0.1,,,,,,,,,,,-0.5,,-0.5,,0.6,,,,-0.1,,-0.1,-0.1,-0.1,,,-0.1,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,           ,,0.7,0.3,,   
65,MUSCLE,Shoulder Girdle & Scapular Region,Right,Lower Trapezius,[Thoracic Region],,,,,,,,,,,,,,,0.15,-0.15,0.3,-0.3,0.1,-0.1,,,,,,,,,,,,-0.5,,-0.5,0.6,,,-0.1,,,-0.1,-0.1,,,-0.1,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.3,0.7,,
