I am developing an app to ask questions to user to asses their posture then create Muscle Status matrix where I keep if user's muscle is overstretched and weak or tight and strong.

I need to create Muscle Assesment matrix to make a transformation between the muscle list below and the questions below.

For each question, evaluate the relation strength of question and each muscles and fill the matrix. Every question gives information about joint angles and other status info of user's body. These will be used to predict which muscles are tight and which muscles are overstretched/weak.

Let's call answers of below questions AnswerArray.

If I multiply AnswerArray and Muscle Assesment Matrix, I will have a resulting matrix called Muscle Status Matrix.

if a value in Muscle status array is negative, then that means that specific muscle is tight, and needs to be stretched. If a value in Muscle Status array is negative, then that means that specific muscle is over stretched and needs to be trained. 

If, when certain answer's value is positive, and if it indicates specific muscle is tightened. Then it means related cell of Muscle Assesment Matrix should be negative. So, when we multiply positive value of AnswerArray and negative value in Muscle Assesment Matrix, we will have negative value on MuscleStatus matrix.

If, when certain answer's value is positive, and if it indicates specific muscle is stretched. Then it means related cell of Muscle Assesment Matrix should be positive. So, when we multiply positive value of AnswerArray and positive value in Muscle Assesment Matrix, we will have positive value on MuscleStatus matrix.

If, when certain answer's value is negative, and if it indicates specific muscle is tightened. Then it means related cell of Muscle Assesment Matrix should be positive. So, when we multiply negative value of AnswerArray and positive value in Muscle Assesment Matrix, we will have negative value on MuscleStatus matrix.

If, when certain answer's value is negative, and if it indicates specific muscle is stretched. Then it means related cell of Muscle Assesment Matrix should be negative. So, when we multiply negative value of AnswerArray and negative value in Muscle Assesment Matrix, we will have positive value on MuscleStatus matrix.

Create the Muscle Assesment Matrix by using scientific resources as a reference. Use larger values if the relation between any question and any muscle is stronger. Muscle Assesment Matrix values should be between -1 and 1. If the relation is direct, then value must be further from 0. As the relations gets weaker, value gets closer to 0. If the relation strength is between -0.05 and 0.05,  Ignore the relation and leave that cell empty. 

Consider the chain effect on posture. Consider compensating behavior of posture problems. Consider main focus area of the question can affect neighboring areas. Consider main focus of the question can disrupt areas on above or below, for example; weak muscle on foot can create compensating tightness on thoracic region.  I mean, effect spans along a lot of muscles and fascias, not only close region. 

Use biomechanical bilateral equations, or clinic information or scientific data to fill the matrix. If you can't find solid information, use approximated or predicted values but try to make those approximations or predictions super accurate. This is not a hypothetical data. 

Verify your own data by checking the symmetry of values.
Use numbering of muscle list in your resulting csv.
First print CSV file, then print your comments.
You can trim the file from first item and last item but never print it with missing lines. I expect consecutive row even some of them are empty.


Questions:

    'thoracic_spine': [
        ('l_thoracic_rotation', 'Left thoracic rotation range? (-10=limited, 0=normal, 10=excessive)'),
        ('r_thoracic_rotation', 'Right thoracic rotation range? (-10=limited, 0=normal, 10=excessive)'),
        ('l_thoracic_tension', 'Left upper back tension? (0=none, 10=severe)'),
        ('r_thoracic_tension', 'Right upper back tension? (0=none, 10=severe)'),
        ('l_thoracic_flexibility', 'Left upper back flexibility? (0=normal, 10=stiff)'),
        ('r_thoracic_flexibility', 'Right upper back flexibility? (0=normal, 10=stiff)'),
        ('thoracic_curve', 'Overall upper back curve? (0=normal, 10=excessive rounding)')
    ],


MUSCLES:

ItemNumber,Type,PrimaryRegion,Side,Name,OtherRegions
100,MUSCLE,Thoracic Region,Left,Serratus Posterior Inferior,[Lumbar & Lower Back Region]
101,MUSCLE,Thoracic Region,Right,Serratus Posterior Inferior,[Lumbar & Lower Back Region]
102,MUSCLE,Thoracic Region,Left,Intercostal Muscles,[]
103,MUSCLE,Thoracic Region,Right,Intercostal Muscles,[]
104,FASCIA,Thoracic Region,Left,Thoracolumbar Fascia (Upper Portion),[Lumbar & Lower Back Region]
105,FASCIA,Thoracic Region,Right,Thoracolumbar Fascia (Upper Portion),[Lumbar & Lower Back Region]
106,FASCIA,Thoracic Region,Left,Costal Pleura & Intercostal Fascia,[]
107,FASCIA,Thoracic Region,Right,Costal Pleura & Intercostal Fascia,[]
108,MUSCLE,Abdominal & Core Region,Left,Rectus Abdominis,[Thoracic Region : Pelvic Girdle & Hip Region]
109,MUSCLE,Abdominal & Core Region,Right,Rectus Abdominis,[Thoracic Region : Pelvic Girdle & Hip Region]
110,MUSCLE,Abdominal & Core Region,Left,External Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
111,MUSCLE,Abdominal & Core Region,Right,External Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
112,MUSCLE,Abdominal & Core Region,Left,Internal Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
113,MUSCLE,Abdominal & Core Region,Right,Internal Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
114,MUSCLE,Abdominal & Core Region,Left,Transversus Abdominis,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
115,MUSCLE,Abdominal & Core Region,Right,Transversus Abdominis,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
116,MUSCLE,Abdominal & Core Region,Left,Diaphragm,[Thoracic Region : Lumbar & Lower Back Region]
117,MUSCLE,Abdominal & Core Region,Right,Diaphragm,[Thoracic Region : Lumbar & Lower Back Region]
118,MUSCLE,Abdominal & Core Region,Left,Pelvic Floor (Levator Ani Group),[Pelvic Girdle & Hip Region]
119,MUSCLE,Abdominal & Core Region,Right,Pelvic Floor (Levator Ani Group),[Pelvic Girdle & Hip Region]
120,MUSCLE,Abdominal & Core Region,Left,Coccygeus,[Pelvic Girdle & Hip Region]
121,MUSCLE,Abdominal & Core Region,Right,Coccygeus,[Pelvic Girdle & Hip Region]
122,FASCIA,Abdominal & Core Region,Center,Linea Alba,[]
123,FASCIA,Abdominal & Core Region,Left,Rectus Sheath,[]
124,FASCIA,Abdominal & Core Region,Right,Rectus Sheath,[]
125,FASCIA,Abdominal & Core Region,Left,Transversalis Fascia,[]
126,FASCIA,Abdominal & Core Region,Right,Transversalis Fascia,[]
127,FASCIA,Abdominal & Core Region,Center,Central Tendon of Diaphragm,[]
128,MUSCLE,Lumbar & Lower Back Region,Left,Iliocostalis Lumborum,[Thoracic Region]
129,MUSCLE,Lumbar & Lower Back Region,Right,Iliocostalis Lumborum,[Thoracic Region]
130,MUSCLE,Lumbar & Lower Back Region,Left,Longissimus Lumborum,[Thoracic Region]
131,MUSCLE,Lumbar & Lower Back Region,Right,Longissimus Lumborum,[Thoracic Region]
132,MUSCLE,Lumbar & Lower Back Region,Left,Multifidus (Lumbar),[Thoracic Region]
133,MUSCLE,Lumbar & Lower Back Region,Right,Multifidus (Lumbar),[Thoracic Region]
134,MUSCLE,Lumbar & Lower Back Region,Left,Quadratus Lumborum,[Thoracic Region : Pelvic Girdle & Hip Region : Abdominal & Core Region]
135,MUSCLE,Lumbar & Lower Back Region,Right,Quadratus Lumborum,[Thoracic Region : Pelvic Girdle & Hip Region : Abdominal & Core Region]
136,MUSCLE,Lumbar & Lower Back Region,Left,Psoas Major,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region]
137,MUSCLE,Lumbar & Lower Back Region,Right,Psoas Major,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region]
138,MUSCLE,Lumbar & Lower Back Region,Left,Psoas Minor,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region]
139,MUSCLE,Lumbar & Lower Back Region,Right,Psoas Minor,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region]
140,FASCIA,Lumbar & Lower Back Region,Left,Thoracolumbar Fascia,[Thoracic Region : Abdominal & Core Region]
141,FASCIA,Lumbar & Lower Back Region,Right,Thoracolumbar Fascia,[Thoracic Region : Abdominal & Core Region]
142,FASCIA,Lumbar & Lower Back Region,Left,Lumbar Fascia,[]
143,FASCIA,Lumbar & Lower Back Region,Right,Lumbar Fascia,[]
144,FASCIA,Lumbar & Lower Back Region,Left,Iliolumbar Ligaments,[Pelvic Girdle & Hip Region]
145,FASCIA,Lumbar & Lower Back Region,Right,Iliolumbar Ligaments,[Pelvic Girdle & Hip Region]
146,MUSCLE,Pelvic Girdle & Hip Region,Left,Iliacus,[Abdominal & Core Region]
147,MUSCLE,Pelvic Girdle & Hip Region,Right,Iliacus,[Abdominal & Core Region]
148,MUSCLE,Pelvic Girdle & Hip Region,Left,Rectus Femoris,[Thigh (Knee) Region]
149,MUSCLE,Pelvic Girdle & Hip Region,Right,Rectus Femoris,[Thigh (Knee) Region]
150,MUSCLE,Pelvic Girdle & Hip Region,Left,Tensor Fasciae Latae,[]
151,MUSCLE,Pelvic Girdle & Hip Region,Right,Tensor Fasciae Latae,[]
152,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Maximus,[]
153,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Maximus,[]
154,MUSCLE,Pelvic Girdle & Hip Region,Left,Biceps Femoris,[Thigh (Knee) Region]
155,MUSCLE,Pelvic Girdle & Hip Region,Right,Biceps Femoris,[Thigh (Knee) Region]
156,MUSCLE,Pelvic Girdle & Hip Region,Left,Semitendinosus,[Thigh (Knee) Region]
157,MUSCLE,Pelvic Girdle & Hip Region,Right,Semitendinosus,[Thigh (Knee) Region]
158,MUSCLE,Pelvic Girdle & Hip Region,Left,Semimembranosus,[Thigh (Knee) Region]
159,MUSCLE,Pelvic Girdle & Hip Region,Right,Semimembranosus,[Thigh (Knee) Region]
160,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Medius,[]
161,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Medius,[]
162,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Minimus,[]
163,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Minimus,[]
164,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Longus,[]
165,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Longus,[]
166,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Brevis,[]
167,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Brevis,[]
168,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Magnus,[]
169,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Magnus,[]
170,MUSCLE,Pelvic Girdle & Hip Region,Left,Pectineus,[]
171,MUSCLE,Pelvic Girdle & Hip Region,Right,Pectineus,[]
172,MUSCLE,Pelvic Girdle & Hip Region,Left,Gracilis,[Thigh (Knee) Region]
173,MUSCLE,Pelvic Girdle & Hip Region,Right,Gracilis,[Thigh (Knee) Region]
174,MUSCLE,Pelvic Girdle & Hip Region,Left,Piriformis,[]
175,MUSCLE,Pelvic Girdle & Hip Region,Right,Piriformis,[]
176,MUSCLE,Pelvic Girdle & Hip Region,Left,Obturator Internus,[]
177,MUSCLE,Pelvic Girdle & Hip Region,Right,Obturator Internus,[]
178,MUSCLE,Pelvic Girdle & Hip Region,Left,Obturator Externus,[]
179,MUSCLE,Pelvic Girdle & Hip Region,Right,Obturator Externus,[]
180,MUSCLE,Pelvic Girdle & Hip Region,Left,Gemelli (Superior/Inferior),[]
181,MUSCLE,Pelvic Girdle & Hip Region,Right,Gemelli (Superior/Inferior),[]
182,MUSCLE,Pelvic Girdle & Hip Region,Left,Quadratus Femoris,[]
183,MUSCLE,Pelvic Girdle & Hip Region,Right,Quadratus Femoris,[]
184,FASCIA,Pelvic Girdle & Hip Region,Left,Iliotibial Band,[Thigh (Knee) Region]
185,FASCIA,Pelvic Girdle & Hip Region,Right,Iliotibial Band,[Thigh (Knee) Region]
186,FASCIA,Pelvic Girdle & Hip Region,Center,Pelvic Fascia,[]
187,FASCIA,Pelvic Girdle & Hip Region,Left,Inguinal Ligament,[]
188,FASCIA,Pelvic Girdle & Hip Region,Right,Inguinal Ligament,[]
189,MUSCLE,Thigh (Knee) Region,Left,Vastus Lateralis,[]
190,MUSCLE,Thigh (Knee) Region,Right,Vastus Lateralis,[]
191,MUSCLE,Thigh (Knee) Region,Left,Vastus Medialis (VMO),[]
192,MUSCLE,Thigh (Knee) Region,Right,Vastus Medialis (VMO),[]
193,MUSCLE,Thigh (Knee) Region,Left,Vastus Intermedius,[]
194,MUSCLE,Thigh (Knee) Region,Right,Vastus Intermedius,[]
195,MUSCLE,Thigh (Knee) Region,Left,Sartorius,[]
196,MUSCLE,Thigh (Knee) Region,Right,Sartorius,[]
197,MUSCLE,Thigh (Knee) Region,Left,Popliteus,[]
198,MUSCLE,Thigh (Knee) Region,Right,Popliteus,[]
199,FASCIA,Thigh (Knee) Region,Left,Fascia Lata,[]
200,FASCIA,Thigh (Knee) Region,Right,Fascia Lata,[]
201,FASCIA,Thigh (Knee) Region,Left,Patellar Retinaculum,[]
202,FASCIA,Thigh (Knee) Region,Right,Patellar Retinaculum,[]
203,MUSCLE,Lower Leg,Left,Gastrocnemius,[]
204,MUSCLE,Lower Leg,Right,Gastrocnemius,[]
205,MUSCLE,Lower Leg,Left,Soleus,[]
206,MUSCLE,Lower Leg,Right,Soleus,[]
207,MUSCLE,Lower Leg,Left,Tibialis Anterior,[]
208,MUSCLE,Lower Leg,Right,Tibialis Anterior,[]
209,MUSCLE,Lower Leg,Left,Tibialis Posterior,[Foot/Ankle]
210,MUSCLE,Lower Leg,Right,Tibialis Posterior,[Foot/Ankle]
211,MUSCLE,Lower Leg,Left,Peroneus (Fibularis) Longus,[Foot/Ankle]
212,MUSCLE,Lower Leg,Right,Peroneus (Fibularis) Longus,[Foot/Ankle]
213,MUSCLE,Lower Leg,Left,Peroneus (Fibularis) Brevis,[]
214,MUSCLE,Lower Leg,Right,Peroneus (Fibularis) Brevis,[]
215,MUSCLE,Lower Leg,Left,Flexor Digitorum Longus,[]
216,MUSCLE,Lower Leg,Right,Flexor Digitorum Longus,[]
217,MUSCLE,Lower Leg,Left,Flexor Hallucis Longus,[Foot/Ankle]
218,MUSCLE,Lower Leg,Right,Flexor Hallucis Longus,[Foot/Ankle]
219,MUSCLE,Lower Leg,Left,Extensor Digitorum Longus,[]
220,MUSCLE,Lower Leg,Right,Extensor Digitorum Longus,[]
221,MUSCLE,Lower Leg,Left,Extensor Hallucis Longus,[Foot/Ankle]
222,MUSCLE,Lower Leg,Right,Extensor Hallucis Longus,[Foot/Ankle]
223,FASCIA,Lower Leg,Left,Crural Fascia,[]
224,FASCIA,Lower Leg,Right,Crural Fascia,[]
225,FASCIA,Lower Leg,Left,Achilles Tendon,[]
226,FASCIA,Lower Leg,Right,Achilles Tendon,[]
227,MUSCLE,Foot/Ankle,Left,Interossei (Foot),[]
228,MUSCLE,Foot/Ankle,Right,Interossei (Foot),[]
229,MUSCLE,Foot/Ankle,Left,Lumbricals (Foot),[]
230,MUSCLE,Foot/Ankle,Right,Lumbricals (Foot),[]
231,MUSCLE,Foot/Ankle,Left,Flexor Digiti Minimi Brevis,[]
232,MUSCLE,Foot/Ankle,Right,Flexor Digiti Minimi Brevis,[]
233,MUSCLE,Foot/Ankle,Left,Flexor Hallucis Brevis,[]
234,MUSCLE,Foot/Ankle,Right,Flexor Hallucis Brevis,[]
235,MUSCLE,Foot/Ankle,Left,Extensor Hallucis Brevis,[]
236,MUSCLE,Foot/Ankle,Right,Extensor Hallucis Brevis,[]
237,MUSCLE,Foot/Ankle,Left,Flexor Digitorum Brevis,[]
238,MUSCLE,Foot/Ankle,Right,Flexor Digitorum Brevis,[]
239,MUSCLE,Foot/Ankle,Left,Extensor Digitorum Brevis,[]
240,MUSCLE,Foot/Ankle,Right,Extensor Digitorum Brevis,[]
241,FASCIA,Foot/Ankle,Left,Plantar Fascia (Plantar Aponeurosis),[]
242,FASCIA,Foot/Ankle,Left,Flexor Retinaculum,[]
243,FASCIA,Foot/Ankle,Right,Flexor Retinaculum,[]
244,FASCIA,Foot/Ankle,Left,Extensor Retinaculum,[]
245,FASCIA,Foot/Ankle,Right,Extensor Retinaculum,[]
246,FASCIA,Foot/Ankle,Left,Peroneal Retinaculum,[]
247,FASCIA,Foot/Ankle,Right,Peroneal Retinaculum,[]
