ItemNumber,Type,PrimaryRegion,Side,Name,l_si_joint,r_si_joint,l_psis_height,r_psis_height,l_asis_height,r_asis_height,
114,MUSCLE,Abdominal & Core Region,Left,Transversus Abdominis,,,,,,,
115,MUSCLE,Abdominal & Core Region,Right,Transversus Abdominis,,,,,,,
116,MUSCLE,Abdominal & Core Region,Left,Diaphragm,,,,,,,
117,MUSCLE,Abdominal & Core Region,Right,Diaphragm,,,,,,,
118,MUSCLE,Abdominal & Core Region,Left,Pelvic Floor (Levator Ani Group),,,,,,,
119,MUSCLE,Abdominal & Core Region,Right,Pelvic Floor (Levator Ani Group),,,,,,,
120,MUSCLE,Abdominal & Core Region,Left,Coccygeus,,,,,,,
121,MUSCLE,Abdominal & Core Region,Right,Coccygeus,,,,,,,
122,FASCIA,Abdominal & Core Region,Center,Linea Alba,,,,,,,
123,FASCIA,Abdominal & Core Region,Left,Rectus Sheath,,,,,,,
124,FASCIA,Abdominal & Core Region,Right,Rectus Sheath,,,,,,,
125,FASCIA,Abdominal & Core Region,Left,Transversalis Fascia,,,,,,,
126,FASCIA,Abdominal & Core Region,Right,Transversalis Fascia,,,,,,,
127,FASCIA,Abdominal & Core Region,Center,Central Tendon of Diaphragm,,,,,,,
128,MUSCLE,Lumbar & Lower Back Region,Left,Iliocostalis Lumborum,-0.1,-0.05,-0.2,,,-0.15,
129,MUSCLE,Lumbar & Lower Back Region,Right,Iliocostalis Lumborum,-0.05,-0.1,,-0.2,,,-0.15
130,MUSCLE,Lumbar & Lower Back Region,Left,Longissimus Lumborum,-0.15,-0.05,-0.25,,,-0.2,
131,MUSCLE,Lumbar & Lower Back Region,Right,Longissimus Lumborum,-0.05,-0.15,,-0.25,,,-0.2
132,MUSCLE,Lumbar & Lower Back Region,Left,Multifidus (Lumbar),-0.15,-0.1,-0.2,,,-0.15,
133,MUSCLE,Lumbar & Lower Back Region,Right,Multifidus (Lumbar),-0.1,-0.15,,-0.2,,,-0.15
134,MUSCLE,Lumbar & Lower Back Region,Left,Quadratus Lumborum,-0.3,,-0.5,,,-0.4,
135,MUSCLE,Lumbar & Lower Back Region,Right,Quadratus Lumborum,,-0.3,,-0.5,,-0.4,
136,MUSCLE,Lumbar & Lower Back Region,Left,Psoas Major,-0.6,-0.15,-0.1,,,-0.5,
137,MUSCLE,Lumbar & Lower Back Region,Right,Psoas Major,-0.15,-0.6,,-0.1,,,-0.5
138,MUSCLE,Lumbar & Lower Back Region,Left,Psoas Minor,-0.5,-0.1,-0.05,,,-0.4,
139,MUSCLE,Lumbar & Lower Back Region,Right,Psoas Minor,-0.1,-0.5,,-0.05,,,-0.4
140,FASCIA,Lumbar & Lower Back Region,Left,Thoracolumbar Fascia,,,,,,,
141,FASCIA,Lumbar & Lower Back Region,Right,Thoracolumbar Fascia,,,,,,,
142,FASCIA,Lumbar & Lower Back Region,Left,Lumbar Fascia,,,,,,,
143,FASCIA,Lumbar & Lower Back Region,Right,Lumbar Fascia,,,,,,,
144,FASCIA,Lumbar & Lower Back Region,Left,Iliolumbar Ligaments,,,,,,,
145,FASCIA,Lumbar & Lower Back Region,Right,Iliolumbar Ligaments,,,,,,,
146,MUSCLE,Pelvic Girdle & Hip Region,Left,Iliacus,-0.55,-0.15,-0.1,,,-0.5,
147,MUSCLE,Pelvic Girdle & Hip Region,Right,Iliacus,-0.15,-0.55,,-0.1,,,-0.5
148,MUSCLE,Pelvic Girdle & Hip Region,Left,Rectus Femoris,-0.4,,-0.1,,,-0.45,
149,MUSCLE,Pelvic Girdle & Hip Region,Right,Rectus Femoris,,-0.4,,-0.1,,-0.45,
150,MUSCLE,Pelvic Girdle & Hip Region,Left,Tensor Fasciae Latae,-0.35,,-0.2,,,-0.3,
151,MUSCLE,Pelvic Girdle & Hip Region,Right,Tensor Fasciae Latae,,-0.35,,-0.2,,-0.3,
152,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Maximus,0.55,0.2,0.15,,,0.45,
153,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Maximus,0.2,0.55,,0.15,,0.45,
154,MUSCLE,Pelvic Girdle & Hip Region,Left,Biceps Femoris,0.4,0.15,0.1,,,0.35,
155,MUSCLE,Pelvic Girdle & Hip Region,Right,Biceps Femoris,0.15,0.4,,0.1,,0.35,
156,MUSCLE,Pelvic Girdle & Hip Region,Left,Semitendinosus,0.4,0.1,0.1,,,0.35,
157,MUSCLE,Pelvic Girdle & Hip Region,Right,Semitendinosus,0.1,0.4,,0.1,,0.35,
158,MUSCLE,Pelvic Girdle & Hip Region,Left,Semimembranosus,0.4,0.1,0.1,,,0.35,
159,MUSCLE,Pelvic Girdle & Hip Region,Right,Semimembranosus,0.1,0.4,,0.1,,0.35,
160,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Medius,-0.1,,-0.4,,,-0.2,
161,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Medius,,-0.1,,,-0.4,,-0.2
162,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Minimus,-0.1,,-0.25,,,-0.15,
163,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Minimus,,-0.1,,,-0.25,,-0.15
164,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Longus,0.05,,0.1,,,0.1,
165,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Longus,,0.05,,,0.1,,0.1
166,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Brevis,0.05,,0.1,,,0.1,
167,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Brevis,,0.05,,,0.1,,0.1
168,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Magnus,0.05,,0.1,,,0.1,
169,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Magnus,,0.05,,,0.1,,0.1
170,MUSCLE,Pelvic Girdle & Hip Region,Left,Pectineus,-0.1,,-0.15,,,-0.1,
171,MUSCLE,Pelvic Girdle & Hip Region,Right,Pectineus,,-0.1,,-0.15,,-0.1,
172,MUSCLE,Pelvic Girdle & Hip Region,Left,Gracilis,0.1,,0.05,,,0.05,
173,MUSCLE,Pelvic Girdle & Hip Region,Right,Gracilis,,0.1,,,0.05,,0.05
174,MUSCLE,Pelvic Girdle & Hip Region,Left,Piriformis,-0.15,,-0.1,,,-0.15,
175,MUSCLE,Pelvic Girdle & Hip Region,Right,Piriformis,,-0.15,,-0.1,,-0.15,
176,MUSCLE,Pelvic Girdle & Hip Region,Left,Obturator Internus,-0.1,,-0.1,,,-0.1,
177,MUSCLE,Pelvic Girdle & Hip Region,Right,Obturator Internus,,-0.1,,-0.1,,-0.1,
178,MUSCLE,Pelvic Girdle & Hip Region,Left,Obturator Externus,-0.1,,-0.1,,,-0.1,
179,MUSCLE,Pelvic Girdle & Hip Region,Right,Obturator Externus,,-0.1,,-0.1,,-0.1,
180,MUSCLE,Pelvic Girdle & Hip Region,Left,Gemelli (Superior/Inferior),-0.1,,-0.1,,,-0.1,
181,MUSCLE,Pelvic Girdle & Hip Region,Right,Gemelli (Superior/Inferior),,-0.1,,-0.1,,-0.1,
182,MUSCLE,Pelvic Girdle & Hip Region,Left,Quadratus Femoris,-0.1,,-0.1,,,-0.1,
183,MUSCLE,Pelvic Girdle & Hip Region,Right,Quadratus Femoris,,-0.1,,-0.1,,-0.1,
184,FASCIA,Pelvic Girdle & Hip Region,Left,Iliotibial Band,,,,,,,
185,FASCIA,Pelvic Girdle & Hip Region,Right,Iliotibial Band,,,,,,,
186,FASCIA,Pelvic Girdle & Hip Region,Center,Pelvic Fascia,,,,,,,
187,FASCIA,Pelvic Girdle & Hip Region,Left,Inguinal Ligament,,,,,,,
188,FASCIA,Pelvic Girdle & Hip Region,Right,Inguinal Ligament,,,,,,,
189,MUSCLE,Thigh (Knee) Region,Left,Vastus Lateralis,,,,,,,
190,MUSCLE,Thigh (Knee) Region,Right,Vastus Lateralis,,,,,,,
191,MUSCLE,Thigh (Knee) Region,Left,Vastus Medialis (VMO),,,,,,,
192,MUSCLE,Thigh (Knee) Region,Right,Vastus Medialis (VMO),,,,,,,
193,MUSCLE,Thigh (Knee) Region,Left,Vastus Intermedius,,,,,,,
194,MUSCLE,Thigh (Knee) Region,Right,Vastus Intermedius,,,,,,,
195,MUSCLE,Thigh (Knee) Region,Left,Sartorius,,,,,,,
196,MUSCLE,Thigh (Knee) Region,Right,Sartorius,,,,,,,
197,MUSCLE,Thigh (Knee) Region,Left,Popliteus,,,,,,,
198,MUSCLE,Thigh (Knee) Region,Right,Popliteus,,,,,,,
199,FASCIA,Thigh (Knee) Region,Left,Fascia Lata,,,,,,,
200,FASCIA,Thigh (Knee) Region,Right,Fascia Lata,,,,,,,
201,FASCIA,Thigh (Knee) Region,Left,Patellar Retinaculum,,,,,,,
202,FASCIA,Thigh (Knee) Region,Right,Patellar Retinaculum,,,,,,,
203,MUSCLE,Lower Leg,Left,Gastrocnemius,,,,,,,
204,MUSCLE,Lower Leg,Right,Gastrocnemius,,,,,,,
205,MUSCLE,Lower Leg,Left,Soleus,,,,,,,
206,MUSCLE,Lower Leg,Right,Soleus,,,,,,,
207,MUSCLE,Lower Leg,Left,Tibialis Anterior,,,,,,,
208,MUSCLE,Lower Leg,Right,Tibialis Anterior,,,,,,,
209,MUSCLE,Lower Leg,Left,Tibialis Posterior,,,,,,,
210,MUSCLE,Lower Leg,Right,Tibialis Posterior,,,,,,,
211,MUSCLE,Lower Leg,Left,Peroneus (Fibularis) Longus,,,,,,,
212,MUSCLE,Lower Leg,Right,Peroneus (Fibularis) Longus,,,,,,,
213,MUSCLE,Lower Leg,Left,Peroneus (Fibularis) Brevis,,,,,,,
214,MUSCLE,Lower Leg,Right,Peroneus (Fibularis) Brevis,,,,,,,
215,MUSCLE,Lower Leg,Left,Flexor Digitorum Longus,,,,,,,
216,MUSCLE,Lower Leg,Right,Flexor Digitorum Longus,,,,,,,
217,MUSCLE,Lower Leg,Left,Flexor Hallucis Longus,,,,,,,
218,MUSCLE,Lower Leg,Right,Flexor Hallucis Longus,,,,,,,
219,MUSCLE,Lower Leg,Left,Extensor Digitorum Longus,,,,,,,
220,MUSCLE,Lower Leg,Right,Extensor Digitorum Longus,,,,,,,
221,MUSCLE,Lower Leg,Left,Extensor Hallucis Longus,,,,,,,
222,MUSCLE,Lower Leg,Right,Extensor Hallucis Longus,,,,,,,
223,FASCIA,Lower Leg,Left,Crural Fascia,,,,,,,
224,FASCIA,Lower Leg,Right,Crural Fascia,,,,,,,
225,FASCIA,Lower Leg,Left,Achilles Tendon,,,,,,,
226,FASCIA,Lower Leg,Right,Achilles Tendon,,,,,,,
227,MUSCLE,Foot/Ankle,Left,Interossei (Foot),,,,,,,
228,MUSCLE,Foot/Ankle,Right,Interossei (Foot),,,,,,,
229,MUSCLE,Foot/Ankle,Left,Lumbricals (Foot),,,,,,,
230,MUSCLE,Foot/Ankle,Right,Lumbricals (Foot),,,,,,,
231,MUSCLE,Foot/Ankle,Left,Flexor Digiti Minimi Brevis,,,,,,,
232,MUSCLE,Foot/Ankle,Right,Flexor Digiti Minimi Brevis,,,,,,,
233,MUSCLE,Foot/Ankle,Left,Flexor Hallucis Brevis,,,,,,,
234,MUSCLE,Foot/Ankle,Right,Flexor Hallucis Brevis,,,,,,,
235,MUSCLE,Foot/Ankle,Left,Extensor Hallucis Brevis,,,,,,,
236,MUSCLE,Foot/Ankle,Right,Extensor Hallucis Brevis,,,,,,,
237,MUSCLE,Foot/Ankle,Left,Flexor Digitorum Brevis,,,,,,,
238,MUSCLE,Foot/Ankle,Right,Flexor Digitorum Brevis,,,,,,,
239,MUSCLE,Foot/Ankle,Left,Extensor Digitorum Brevis,,,,,,,
240,MUSCLE,Foot/Ankle,Right,Extensor Digitorum Brevis,,,,,,,
241,FASCIA,Foot/Ankle,Left,Plantar Fascia (Plantar Aponeurosis),,,,,,,
242,FASCIA,Foot/Ankle,Left,Flexor Retinaculum,,,,,,,
243,FASCIA,Foot/Ankle,Right,Flexor Retinaculum,,,,,,,
244,FASCIA,Foot/Ankle,Left,Extensor Retinaculum,,,,,,,
245,FASCIA,Foot/Ankle,Right,Extensor Retinaculum,,,,,,,
246,FASCIA,Foot/Ankle,Left,Peroneal Retinaculum,,,,,,,
247,FASCIA,Foot/Ankle,Right,Peroneal Retinaculum,,,,,,,
