ItemNumber,l_heel_pressure,r_heel_pressure,l_forefoot_pressure,r_forefoot_pressure,l_lateral_pressure,r_lateral_pressure,l_medial_pressure,r_medial_pressure
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,0.70,, -0.70,,,,,,  
204,,0.70,, -0.70,,,,, 
205,0.65,, -0.65,,,,,, 
206,,0.65,, -0.65,,,,,
207,-0.60,,0.60,,,,,,  
208,, -0.60,,0.60,,,,  
209,0.40,, -0.40,,,,,, 
210,,0.40,, -0.40,,,,, 
211,0.35,, -0.35,0.45,,,-0.45, 
212,,0.35,, -0.35,,0.45,, -0.45 
213,0.30,, -0.30,0.40,,,-0.40, 
214,,0.30,, -0.30,,0.40,, -0.40
215,0.25,, -0.25,,,,,, 
216,,0.25,, -0.25,,,,, 
217,0.25,, -0.25,,,,,, 
218,,0.25,, -0.25,,,,, 
219,-0.25,,0.25,,,,,,
220,, -0.25,,0.25,,,,
221,-0.20,,0.20,,,,,, 
222,, -0.20,,0.20,,,, 
223,,,,,,,,            
224,,,,,,,,            
225,0.25,, -0.25,,,,,, 
226,,0.25,, -0.25,,,,, 
227,0.40,, -0.40,0.35,,,-0.35, 
228,,0.40,, -0.40,,0.35,, -0.35 
229,0.35,, -0.35,0.30,,,-0.30,
230,,0.35,, -0.35,,0.30,, -0.30
231,0.25,, -0.25,0.20,,,-0.20, 
232,,0.25,, -0.25,,0.20,, -0.20
233,0.25,, -0.25,,,,,, 
234,,0.25,, -0.25,,,,, 
235,-0.25,,0.25,,,,,,  
236,, -0.25,,0.25,,,, 
237,0.20,, -0.20,,,,,,
238,,0.20,, -0.20,,,,,
239,-0.20,,0.20,,,,,, 
240,, -0.20,,0.20,,,,
241,0.30,, -0.30,,,,,,
242,0.15,, -0.15,,,,,, 
243,,0.15,, -0.15,,,,,  
244,-0.15,,0.15,,,,,, 
245,, -0.15,,0.15,,,, 
246,0.10,, -0.10,0.20,,,-0.20, 
247,,0.10,, -0.10,,0.20,, -0.20 
