ItemNumber,l_upper_abs,r_upper_abs,l_lower_abs,r_lower_abs,l_obliques,r_obliques
138,-0.2,,,-0.2,,-0.15
139,,,-0.2,,,-0.15
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,-0.3,,,-0.3,,-0.25
147,,,-0.3,,,-0.25
148,-0.25,,,-0.3,,-0.2
149,,,-0.3,,,-0.2
150,-0.35,,,-0.4,,-0.3
151,,,-0.4,,,-0.3
152,0.4,,,0.4,,0.3
153,,0.4,,0.4,,0.3
154,,0.1,,0.1,,0.08
155,0.1,,0.1,,0.08,
156,,0.1,,0.1,,0.08
157,0.1,,0.1,,0.08,
158,,0.1,,0.1,,0.08
159,0.1,,0.1,,0.08,
160,0.3,,,0.3,,0.25
161,,0.3,,0.3,,0.25
162,0.2,,,0.2,,0.15
163,,0.2,,0.2,,0.15
164,,0.1,,0.15,,0.1
165,0.1,,0.15,,0.1,
166,,0.1,,0.15,,0.1
167,0.1,,0.15,,0.1,
168,,0.1,,0.15,,0.1
169,0.1,,0.15,,0.1,
170,,,,,,
171,,,,,,
172,,0.1,,0.1,,0.08
173,0.1,,0.1,,0.08,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,0.1,,0.1,,0.1
210,0.1,,0.1,,0.1,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
