Number,Name,Side,How to Do It,Alignment Cues,Primary Focus Areas,What to Feel,Variations for Different Curvatures,Adaptations,Outcome & Benefits,Feedback Indicators
11,Setu Bandhasana,Both,"Lie on your back with knees bent and feet flat on the floor, hip-width apart. Press into your feet to lift your hips off the floor, engaging the glutes and core while keeping your shoulders and head on the mat.",Ensure that your knees remain directly above your ankles and that the lift is even across both sides of your body.,"Targets the glutes, hamstrings, and lower back while gently stretching the chest and hip flexors.",Feel a firm activation in the glutes and hamstrings along with a gentle stretch in the lower back and chest.,"For scoliosis, monitor the lift to ensure one side isn’t overcompensating; adjustments may be needed to maintain even support.","If lifting fully is uncomfortable, you can place a block under the sacrum for partial support.","Strengthens the posterior chain, enhances pelvic alignment, and increases spinal flexibility.",You should experience balanced engagement on both sides with a controlled lift and no pain in the lower back.
12,Chakrasana,Both,"Lie on your back, bend your knees, and place your hands beside your ears. Press into your hands and feet to lift your body into a backbend, forming an arch with your spine.","Ensure that your hands are placed symmetrically by your ears, your feet are parallel, and the lift is distributed evenly from the base of the spine upward.","Focuses on opening the chest and shoulders, stretching the entire front body, and strengthening the arms and legs.","Feel a deep, expansive stretch across the chest and a strong engagement in the arms, legs, and core.",Those with scoliosis should proceed with caution; consider a less intense variation or limit the depth of the backbend to avoid uneven pressure.,"Support your lower back with a block or cushion if necessary, and consider working with a spotter or instructor for proper alignment.","Enhances spinal flexibility, strengthens upper and lower body muscles, and promotes improved posture when done carefully.","Feedback should reflect an even, controlled backbend with balanced effort on both sides, with no excessive strain or discomfort."
13,Matsyasana,Both,"Lie on your back with your legs extended. Slide your hands under your hips and press them into the floor as you lift your chest upward, arching your back. Optionally, let your head rest lightly on the floor or on a small support.",Keep the lift even by ensuring your forearms support your upper body symmetrically and the rib cage opens evenly.,"Emphasizes opening the chest, stretching the throat and abdomen, and providing a counter-stretch to forward folds.","Feel a deep opening in the chest and throat with a gentle stretch along the front of the body, balanced on both sides.","If overextension occurs or one side feels overly stretched, modify the depth of the lift or support your head with a cushion.","For extra support, use a bolster or folded towel under the back to ease the strain on the neck and maintain even pressure.","Improves breathing capacity, counteracts compressive effects of forward folds, and promotes relaxation in the upper body.","A balanced, even stretch should be experienced in the chest and throat without discomfort in the neck; any imbalance indicates the need for further adjustment."
14,Navasana,Both,Sit on the floor with your legs extended. Lean back slightly and lift your feet off the ground to form a V-shape with your torso and legs. Extend your arms forward parallel to the floor.,Keep your spine straight and your chest open. Engage your core and avoid slumping.,"Core muscles, hip flexors, and lower back stabilizers.",A strong contraction in your abdominal muscles along with a balanced challenge to your core.,"For individuals with scoliosis, performing the pose with bent knees can reduce strain and promote balance.",Keep the knees bent (Half Boat Pose) or support the back with a bolster if full extension is too challenging.,"Strengthens the core, improves balance, and enhances overall stability.","A steady, even engagement in the abdominal muscles with a balanced hold; no undue strain on the lower back."
15,Bhujangasana,Both,"Lie on your stomach with your hands placed under your shoulders. Press into your hands to lift your chest off the floor, keeping your elbows slightly bent.",Keep your elbows close to your body and your shoulders relaxed. Maintain a natural curve in your lower back.,"Back muscles, chest, and abdominal stretch.","A gentle lift in the chest with a mild extension in the spine, activating the back muscles.",Scoliosis modifications include performing a low cobra (baby cobra) to avoid excessive extension.,Lift only as high as comfortable; use a cushion under the chest for support if needed.,"Improves spinal flexibility, opens the chest, and strengthens the back muscles.","A controlled, symmetrical lift without pain, with balanced sensation along both sides of the back."
16,Shalabhasana,Both,"Lie face down with your arms alongside your body. Lift your head, chest, arms, and legs off the floor simultaneously using a controlled motion.",Keep your neck in a neutral position and avoid hyperextension. Engage your back and glute muscles evenly.,"Back extensors, glutes, and hamstrings.","A firm activation in the posterior chain, especially in the lower back and glutes.","For those with scoliosis, consider lifting one limb at a time or keeping the legs slightly bent to reduce imbalance.",Perform a modified locust pose with reduced range of motion if full lift is too challenging.,"Strengthens the back, improves posture, and enhances overall spinal stability.",Even muscle engagement across both sides of the back; balanced activation without excessive strain.
17,Dhanurasana,Both,"Lie on your stomach, bend your knees, and reach back to grasp your ankles. Inhale to lift your chest and legs off the floor simultaneously, creating a bow shape with your body.",Ensure that your arms and legs pull evenly to maintain a balanced arch. Keep your spine elongated during the lift.,"Chest, back muscles, and the entire anterior chain stretch.",A deep stretch in the chest and abdomen accompanied by strong activation of the back muscles.,"For individuals with scoliosis, limit the depth of the backbend or perform a half-bow modification to reduce strain.",Use a yoga strap to assist in reaching your ankles or keep your knees closer to your body for a gentler variation.,"Enhances spinal flexibility, improves posture, and invigorates the entire body.","A balanced, moderate backbend with symmetrical effort; a controlled stretch without pain on either side."
18,Ustrasana,Both,"Kneel on the mat with your knees hip-width apart. Place your hands on your lower back, then gently arch your spine to lift your chest upward. Optionally, reach back to grasp your heels.",Keep your hips squared forward and your spine elongated. Maintain a neutral neck and avoid overextending the lower back.,"Stretches the chest, abdomen, and hip flexors while strengthening the back muscles.",Feel a deep opening in the front of the body accompanied by controlled activation in the back and core.,"For those with scoliosis, perform a moderate backbend or keep your hands on your hips instead of reaching for your heels to avoid uneven stress.","Use a yoga strap to assist in reaching your heels, or reduce the depth of the backbend if necessary.","Enhances spinal flexibility, opens the chest, and improves overall posture by counteracting forward bending tendencies.",The stretch should be even on both sides with balanced feedback in the mirror and no sharp discomfort.
19,Marjarasana,Both,"Start on your hands and knees. On an exhale, round your spine upward by tucking your chin toward your chest and drawing your belly in, creating a gentle arch in your back.",Ensure your shoulders remain over your wrists and your hips in line with your knees; avoid collapsing into the shoulders.,"Mobilizes and stretches the entire spine, particularly the mid to lower back, and relieves tension in the neck.","Feel a gentle, even stretch along the back with a release of tension in the neck.","If one side feels stiffer due to scoliosis, move slowly and focus on maintaining even motion.",Perform the pose slowly or use extra cushioning under the knees if needed.,"Improves spinal flexibility, alleviates tension, and promotes mindful, balanced movement.","You should experience a smooth, symmetrical rounding of the back; any imbalance suggests a need for further modification."
20,Bitilasana,Both,"From a hands-and-knees position, inhale and drop your belly toward the mat while lifting your head and tailbone upward to form a gentle arch in your spine.",Keep your shoulders relaxed away from your ears and your hips aligned with your knees; allow your belly to soften naturally.,Opens the chest and abdomen while gently stretching the spine and hip flexors.,"Feel a smooth, expansive stretch in the chest and abdomen with a controlled arch in the spine.","For those with scoliosis, concentrate on moving both sides equally; if one side feels more pronounced, consciously adjust to maintain symmetry.",Slow down the movement or place a folded blanket under the knees for extra cushioning if necessary.,"Enhances spinal mobility, improves breathing by expanding the chest, and provides a balanced counterpose to Marjarasana.","You should feel an even, controlled opening in the front body and spine; any side feeling overly dominant indicates a need for modification."
21,Adho Mukha Shvanasana,Both,"Begin on your hands and knees, then lift your hips upward and back, extending your legs to form an inverted V-shape. Press firmly into the mat with both hands.",Align your ears with your upper arms and maintain a long spine while engaging your core and leg muscles.,"Strengthens the arms, shoulders, and legs while stretching the back, calves, and hamstrings.","Feel a full-body stretch, particularly along the back of the legs and spine, with energizing activation in the arms and shoulders.",Individuals with scoliosis may bend the knees slightly to maintain even support and prevent overextension on one side.,"Place a block under your hands or a bolster under your heels for additional support if needed, and adjust leg positioning for balance.","Improves overall strength and flexibility, enhances circulation, and gently realigns the spine through a mild inversion effect.","The stretch should be balanced and even on both sides with no excessive strain on the lower back or legs, as verified by visual or tactile feedback."
22,Urdhva Mukha Shvanasana,Both,"Lie on your stomach. Place your palms flat on the mat beside your ribs. On an inhale, press into your hands, straightening your arms fully to lift your chest high while keeping your pelvis and legs grounded. Let your shoulders roll slightly back.","Keep elbows extended but soft, maintain a gentle curve in the lower back, and engage your core to support an even lift.","Upper back, chest, shoulders, and core.","Feel a strong, even opening in the chest with firm, balanced engagement in the back and arms.","If your curvature causes uneven strain, reduce the height of the lift or modify by keeping one elbow slightly bent.","For extra support, perform a modified version (similar to a low cobra) by lifting the chest less aggressively.","Increases spinal flexibility, strengthens the upper body, and improves posture by evenly opening the chest.","You should feel a balanced, controlled lift with no discomfort in one shoulder or side of the back."
23,Phalakasana,Both,Begin in a push-up position with your hands directly under your shoulders and legs extended back. Keep your body in a straight line from head to heels.,Ensure your core is engaged and maintain a horizontal line without sagging hips or raised buttocks.,"Core, shoulders, arms, and legs.","Feel uniform tension and engagement throughout the body, especially in the core.","For those with scoliosis, modify by dropping the knees to reduce strain while keeping the core activated.",Perform a forearm plank if wrist discomfort occurs or if maintaining symmetry is challenging.,"Builds core strength and overall stability, reinforcing proper body alignment.",Your body should form a straight line with equal tension across both sides; any sagging or uneven distribution indicates a need for adjustment.
24,Chaturanga Dandasana,Both,"Start in a high plank position. Slowly lower your body by bending your elbows, keeping them tucked close to your sides, until your upper arms are parallel to the floor.","Keep your body in a straight line, engage your core, and avoid letting your hips sag or rise.","Arms, core, and shoulder stabilizers.","Feel a controlled, firm lowering with strong activation in the triceps and core without losing alignment.","If uneven strain is noticed, lower only as far as is comfortable or use a modified push-up (knees on the ground).","Drop to the knees if full Chaturanga is too challenging, ensuring you maintain symmetry.","Strengthens the upper body and core, and improves overall upper body control.","A smooth, even descent should be felt, with symmetrical effort on both sides and no collapsing of the lower back."
25,Sirsasana,Both,"Interlace your fingers and place your forearms on the mat to form a stable base. Rest the crown of your head on the mat between your hands and gradually lift your legs, extending them upward into an inversion.",Ensure your weight is evenly distributed through your forearms and crown; keep your core engaged and maintain a straight line with your legs and torso.,"Shoulders, arms, core, and balance.","Feel a controlled inversion with even activation across the upper body and a stable, balanced sensation.","If full Sirsasana is too challenging or causes asymmetrical strain, practice with a wall for support or opt for a tripod headstand variation.",Use a folded towel under your head for cushioning or perform with support until balance improves.,"Enhances balance, strengthens the upper body, improves circulation, and builds focus through inversion practice.","You should experience a stable, evenly distributed inversion with no undue pressure on one side of the neck or shoulders; any imbalance suggests a need for modification."
26,Sarvangasana,Both,"Lie on your back, then lift your legs and hips by supporting your lower back with your hands and your shoulders on the mat. Hold the pose steadily.",Ensure your body forms a straight line from your shoulders to your toes. Keep your neck neutral and avoid turning your head.,"Shoulders, neck, core, and upper back; strengthens the upper body and improves circulation.",Feel a gentle inversion with even support through the shoulders and a firm core engagement.,"If scoliosis affects your balance, modify by using extra hand support or practicing against a wall.",Place a folded towel under the shoulders if needed and avoid the pose if you have neck issues.,"Improves circulation, strengthens the upper body, and calms the mind.",You should feel an even inversion with balanced support on both shoulders and no neck strain.
27,Halasana,Both,"From Sarvangasana, slowly lower your legs over your head until your toes (or feet) gently touch the floor behind you, keeping your back flat and your shoulders stable.",Maintain a straight spine and distribute your weight evenly on your shoulders and upper arms.,"Back, shoulders, and hamstrings.",Feel a deep stretch in the back and shoulders with a gentle compression along the neck.,"If pressure feels uneven, support your lower back with your hands or use a folded blanket to balance the stretch.",Use a bolster under the shoulders for extra support if the full pose is too intense.,"Enhances spinal flexibility, improves circulation, and helps calm the nervous system.",You should experience an even stretch across the back with balanced support; no excessive neck strain.
28,Karnapidasana,Both,"From Halasana, gently bring your knees down toward your ears, pressing them softly against your head while keeping your back on the mat.","Keep your head neutral and ensure your knees apply gentle, even pressure on both sides.","Shoulders, neck, and upper back.","Feel a mild, compressive stretch around the ears and neck with activation in the upper back.","If the pressure is uneven, adjust knee positioning to distribute it symmetrically.",Support your head with a folded towel if needed to avoid excessive strain.,"Relieves tension in the neck and shoulders, improves blood flow, and enhances balance in inversions.",Pressure should be felt evenly around the ears without sharp discomfort.
29,Viparita Karani,Both,"Sit next to a wall and lie on your back, then extend your legs up along the wall. Relax your arms at your sides.",Keep your hips as close to the wall as possible and ensure the legs are straight while the body remains relaxed.,"Legs, lower back, and overall relaxation.","Feel a soothing, gentle inversion with a soft stretch in the calves and lower back.",Adjust the distance between your hips and the wall if you experience an imbalance due to scoliosis.,Place a folded blanket under the hips for extra support if necessary.,"Reduces leg fatigue, improves circulation, and promotes relaxation and stress relief.","You should feel calm, evenly supported legs and a relaxed lower back."
30,Shavasana,Both,Lie flat on your back with your arms comfortably at your sides and legs slightly apart. Close your eyes and allow your body to relax completely.,Ensure that your body is aligned naturally with a relaxed neck and a slight gap between your arms and torso for free breathing.,"Full body relaxation, focusing on releasing tension from the spine and muscles.",Feel a profound sense of calm and complete release in every part of your body.,"If you experience any imbalance, adjust by placing a small pillow or bolster under one knee or along one side.",Use props (such as a small pillow) to support any areas that require additional alignment assistance.,"Promotes deep relaxation, reduces stress, and allows the body to integrate the benefits of the practice.",Feedback should be a uniform feeling of relaxation and even support throughout the body with no localized tension.
31,Bakasana,Both,"Squat down and place your hands firmly on the mat in front of you. Lean forward, shifting your weight onto your hands while tucking your knees onto the backs of your upper arms. Gradually lift your feet off the ground to balance.","Keep your gaze forward, engage your core, and ensure your elbows remain close to your body for even weight distribution.","Arms, core, and balance.",Feel strong activation in your arms and core along with a challenge to your balance as you shift your weight onto your hands.,"If your scoliosis causes one side to feel overburdened, adjust the depth of your squat to encourage symmetry.",Practice near a wall or start with a tuck variation if the full pose is too challenging.,Strengthens the arms and core while enhancing balance and concentration.,"A stable, balanced hold with equal pressure on both arms confirms proper alignment."
32,Tolasana,Both,"From a low squat, place your hands on the mat in front of you. Lean forward and shift your weight onto your hands, then carefully extend your legs behind you so that your body forms a horizontal line.",Maintain a straight back and engaged core while ensuring that your weight is evenly distributed across both hands.,"Arms, core, and balance.",Feel a controlled balancing challenge with firm activation in the core and arms.,"If maintaining balance is difficult due to uneven curvature, keep your knees slightly bent to lower the difficulty.",Use a cushion or practice near a wall until your balance improves.,"Improves balance, arm strength, and core stability through controlled weight distribution.",A balanced pose with even muscle engagement on both sides indicates success.
33,Mayurasana,Both,Place your hands on the mat with fingers spread wide. Lean forward and balance your body on your forearms while lifting your legs so that your torso is parallel to the floor.,Keep your elbows locked and your body horizontal by engaging your core and maintaining a steady gaze.,"Forearms, wrists, core, and balance.",Feel a deep challenge in balancing with strong activation in your forearms and core.,"If full leg extension is too difficult, try bending one knee or keeping the legs partially lifted.",Practice near a wall for additional support until you build sufficient strength.,"Strengthens the arms and core, enhances concentration, and improves overall balance.","A stable, evenly balanced horizontal body with equal pressure on both forearms is the desired feedback."
34,Pincha Mayurasana,Both,Kneel on the mat and place your forearms on the floor with fingers interlaced. Lift your hips and gradually extend your legs upward to enter a forearm stand.,"Keep a straight line from your shoulders to your toes, engage your core, and direct your gaze slightly forward to maintain balance.","Shoulders, core, and balance.",Feel a controlled inversion with powerful activation in the shoulders and core.,"If your scoliosis makes balance challenging, modify by practicing with your feet against a wall or with a spotter.",Use a yoga block for extra stability or practice a partial lift until you develop full balance.,"Improves shoulder strength, balance, and body awareness through inversion practice.","A stable, balanced inversion with even weight distribution on both forearms indicates proper execution."
35,Adho Mukha Vrksasana,Both,Start in a downward dog pose. Gradually shift your weight forward and kick up into a handstand. Extend your legs fully upward while keeping your arms straight and your core engaged.,Ensure your hands are shoulder-width apart and your body forms a straight line once inverted. Engage your core to stabilize the pose.,"Arms, shoulders, core, and overall balance.","Feel the full-body inversion challenge with strong activation in the arms and core, accompanied by a heightened sense of balance.","For those struggling with balance due to scoliosis, practice near a wall or use a tripod handstand variation.",Use a spotter or wall support until your handstand becomes stable and evenly balanced.,"Builds upper body strength, enhances balance, and increases body awareness through inversion training.","A controlled, evenly balanced handstand with equal weight distribution on both hands confirms proper alignment."
36,Kurmasana,Both,"Sit with your legs extended and slightly apart. Inhale to lengthen the spine, then exhale as you fold forward slowly, sliding your arms underneath your legs until your forehead nearly touches the floor. Tuck your head and relax your shoulders.",Keep your spine long and your chest open; ensure your arms are evenly placed under your body.,"Hips, lower back, and shoulders.","A deep, uniform stretch along the back and inner thighs with a gentle pressure on the shoulders.","If scoliosis causes one side to feel tighter, adjust the fold slightly to promote a balanced stretch.",Use a bolster under the chest or a folded blanket under the head if additional support is needed.,"Enhances hip flexibility, relieves lower back tension, and promotes a balanced posture.",An even stretch on both sides with a sense of release throughout the back indicates proper alignment.
37,Upavistha Konasana,Both,"Sit on the floor with your legs spread wide apart. Keep your back straight and hinge forward from the hips, reaching your hands toward your feet or the floor.",Maintain a long spine by leading with the chest while keeping the shoulders relaxed.,"Hamstrings, inner thighs, and lower back.","A broad, even stretch along the inner thighs with a gentle release in the lower back.","If one side feels more restricted due to scoliosis, adjust hand placement to balance the stretch.",Use yoga blocks or a bolster in front for support if reaching the floor is challenging.,Improves flexibility in the legs and lower back while promoting balanced forward bending.,"A symmetrical, gradual stretch with even reach on both sides, without sharp pain, confirms proper form."
38,Padahastasana,Both,"Stand with your feet together or slightly apart. Hinge at the hips and fold forward, reaching down to grasp your feet or ankles while keeping the spine long and controlled.","Keep the back straight initially, then allow a gradual fold from the hips, ensuring an even descent.","Hamstrings, calves, and lower back.",A deep stretch along the back of the legs with a gentle release in the lower back.,"If scoliosis creates an imbalance, use alternate hand positions or slightly bend the knees to maintain symmetry.",Place a block under your hands if the floor is out of reach or perform with knees slightly bent.,Increases leg and lower back flexibility and promotes balanced forward bending.,"An even, gradual stretch with balanced sensation in both legs, and no side-specific tension, indicates success."
39,Uttana Padasana,Both,Stand upright with your feet together. Hinge at the hips and extend one leg forward while reaching down with both hands to grasp the extended foot. Keep the spine elongated and the supporting leg engaged. Alternate sides as needed.,Maintain a long spine and engage your core for stability; keep the extended leg straight and the movement controlled.,"Hamstrings, core, and balance.",A focused stretch in the hamstring of the extended leg combined with a balancing challenge in the core.,"If scoliosis affects symmetry, reduce the range of motion or practice near a wall for support.",Use a spotter or modify by keeping both feet on the floor (a modified forward bend) if full extension is too challenging.,"Enhances hamstring flexibility, strengthens core muscles, and improves overall balance.","A balanced stretch with controlled reach and stable core engagement, with equal sensation on both sides, confirms proper execution."
40,Paschimottanasana,Both,"Sit on the floor with your legs extended straight in front of you. Inhale to lengthen your spine, then exhale as you fold forward from the hips, reaching toward your feet while keeping the back as straight as possible.",Keep the chest open and avoid excessive rounding of the back; lead with the hips rather than the head.,"Hamstrings, lower back, and spine.","A deep, uniform stretch along the back of the legs with a noticeable release in the lower back.","For those with scoliosis, adjust the forward bend to emphasize the more restricted side if necessary.",Use a strap around the feet or a cushion under the knees to ease the stretch if needed.,"Improves hamstring and lower back flexibility, promotes spinal alignment, and aids relaxation.","A steady, even stretch with balanced effort on both sides and a clear sense of lower back release indicates proper alignment."
41,Trikonasana,Right,"Stand with feet wide apart; position the right foot forward and the left foot turned slightly outward. Extend your arms horizontally, then hinge at the hip to lower your right hand onto your right shin or a block while extending your left arm upward. Rotate your torso gently and gaze upward toward your left hand.","Keep the right hip square and your chest open toward the ceiling. Maintain a long, straight spine and avoid collapsing at the waist.","Stretches the right leg, hip, and lateral torso while engaging the core.","Feel a deep, balanced stretch along the right side with a gentle opening of the chest.","If the right side is concave due to scoliosis, deepen the stretch by gently pressing the right hip toward the floor; if convex, focus on even extension.",Use a block under the right hand to adjust the depth and provide support.,"Improves leg and torso flexibility, enhances balance, and promotes spinal alignment.",A mirror check should show even hip alignment and a balanced stretch on the right side without discomfort.
42,Trikonasana,Left,"Stand with feet wide apart; position the left foot forward and the right foot turned slightly outward. Extend your arms horizontally, then hinge at the hip to lower your left hand onto your left shin or a block while extending your right arm upward. Gently rotate your torso and gaze upward toward your right hand.",Keep the left hip squared and maintain an open chest; ensure your spine stays long and straight.,"Stretches the left leg, hip, and lateral torso while engaging the core.","Feel a deep, even stretch along the left side with a subtle opening in the chest.","If the left side is concave, you may deepen the stretch by gently pressing the left hip downward; if convex, focus on maintaining an even extension.",Use a block under the left hand for additional support or to adjust the stretch.,"Enhances flexibility, balance, and promotes proper spinal alignment.","A balanced, comfortable stretch on the left side with even hip and shoulder alignment is the goal."
43,Parivritta Trikonasana,Right,"Stand with the right foot forward and the left foot turned out. Rotate your torso to the right, reaching your left hand toward the outer edge of your right foot (or a block) while extending your right arm upward. Initiate the twist from the hips.",Keep your hips square to the front and maintain a long spine; avoid forcing the twist in the lower back.,"Engages the obliques, legs, and hips to promote rotational flexibility.",Feel a deep twist through the torso with a pronounced stretch along the left side and activation in the right arm.,"For scoliosis, if the left (twist) side feels restricted, use a block under the left hand to control the intensity. Adjust the twist depth for symmetry.","Practice a slow, controlled twist with props if needed, ensuring the movement originates from the hips.","Improves spinal rotation, strengthens the core, and increases flexibility in the legs and torso.","A controlled, even twist with balanced stretching and no undue lower back strain indicates proper form."
44,Parivritta Trikonasana,Left,"Stand with the left foot forward and the right foot turned out. Rotate your torso to the left, reaching your right hand toward the outer edge of your left foot (or a block) while extending your left arm upward. Initiate the twist from the hips.","Maintain a long, straight spine and keep your hips squared forward; do not force the twist beyond your comfort.","Strengthens the obliques, legs, and hips, enhancing rotational mobility.",Feel a balanced twist through the torso with a deep stretch along the right side and activation in the left arm.,"For scoliosis, if the right side is tight, support the right hand with a block to ease the twist and adjust depth to maintain symmetry.",Use props and focus on initiating the twist from the hips to avoid strain in the upper spine.,"Enhances flexibility, promotes balanced core engagement, and improves overall rotation.","A smooth, even twist with balanced stretching on both sides confirms proper alignment."
45,Virabhadrasana I,Right,"Stand with your right foot forward and left foot turned slightly out. Bend your right knee so it is directly above your ankle while keeping the left leg straight and strong. Raise your arms overhead, square your hips forward, and maintain an upright posture.",Ensure the right knee aligns with your ankle and that your hips face forward. Keep your shoulders relaxed while reaching evenly upward.,"Strengthens the right leg, core, and shoulders while stretching the hip flexors and chest.","Feel a grounded, strong sensation in the right leg combined with an uplifting stretch through the arms and chest.","For scoliosis, if the right side is convex, avoid overextending the left (back) leg; if concave, deepen the right knee bend to balance muscle tension.",Use a block under the right hand or slightly adjust the knee bend if balance is compromised.,"Improves lower body strength, stability, and balance, while promoting proper hip alignment.",A stable posture with even weight distribution and a strong right leg indicates proper execution.
