,Posture Problem,Pelvic Tilt (anterior mild symmetric),Pelvic Tilt (posterior mild symmetric),Pelvic Tilt (anterior mild symmetric),Pelvic Tilt (anterior moderate symmetric),Pelvic Tilt (anterior severe symmetric),Pelvic Tilt (anterior mild asymmetric left),Pelvic Tilt (posterior moderate asymmetric right),Pelvic Tilt (anterior severe asymmetric left),Pelvic Tilt (anterior moderate asymmetric right),Pelvic Tilt (posterior mild symmetric),Pelvic Tilt + Lordosis (mild symmetric),Pelvic Tilt + Forward Head Posture (mild symmetric),Pelvic Tilt + Rounded Shoulders (moderate symmetric),Pelvic Tilt + Kyphosis (severe symmetric),Pelvic Tilt + Scoliosis (mild asymmetric left),Pelvic Tilt + Flat Back Syndrome (moderate symmetric),Pelvic Tilt + Text Neck (mild asymmetric right),Pelvic Tilt + Hyperlordosis (severe symmetric),Pelvic Tilt + Slumped Sitting Posture (moderate asymmetric left),Pelvic Tilt + Scoliosis (mild symmetric),Pelvic Tilt + Lordosis + Forward Head Posture (mild symmetric),Pelvic Tilt + Kyphosis + Rounded Shoulders (moderate symmetric),Pelvic Tilt + Scoliosis + Flat Back Syndrome (severe asymmetric left),Pelvic Tilt + Forward Head Posture + Text Neck (mild symmetric),Pelvic Tilt + Rounded Shoulders + Slumped Sitting Posture (moderate asymmetric right),Pelvic Tilt + Lordosis + Scoliosis (mild asymmetric left),Pelvic Tilt + Kyphosis + Forward Head Posture (severe symmetric),Pelvic Tilt + Flat Back Syndrome + Rounded Shoulders (moderate symmetric),Pelvic Tilt + Hyperlordosis + Text Neck (severe asymmetric right),Pelvic Tilt + Slumped Sitting Posture + Scoliosis (mild symmetric)
r_hip_shift,61,2,-2,2,4,7,1,-3,7,5,-2,3,2,4,7,-1,0,2,8,3,2,3,5,0,2,5,-1,7,0,8,2
l_glute_tone,62,-2,2,-2,-4,-7,-3,2,-8,-4,2,-3,-2,-4,-7,1,-2,-2,-8,-5,-2,-3,-5,1,-2,-5,1,-7,-5,-8,-2
r_glute_tone,63,-2,2,-2,-4,-7,-1,3,-7,-5,2,-3,-2,-4,-7,-1,-2,-2,-8,-3,-2,-3,-5,-1,-2,-5,-1,-7,-5,-8,-2
l_hip_flexor,64,-2,-1,-2,-4,-7,-3,-1,-8,-4,-1,-3,-2,-4,-7,1,-2,-2,-8,-5,-2,-3,-5,1,-2,-5,1,-7,-5,-8,-2
r_hip_flexor,65,-2,-1,-2,-4,-7,-1,-2,-7,-5,-1,-3,-2,-4,-7,-1,-2,-2,-8,-3,-2,-3,-5,-1,-2,-5,-1,-7,-5,-8,-2
l_knee_alignment,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_alignment,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_knee_rotation,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_rotation,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_patella_tracking,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_patella_tracking,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_knee_hyperext,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_hyperext,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_q_angle,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_q_angle,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_ankle_position,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_ankle_position,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_arch_height,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_arch_height,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_foot_rotation,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_foot_rotation,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_toe_position,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_toe_position,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus_pos,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus_pos,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus_pos,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus_pos,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_pressure,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_pressure,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_pressure,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_pressure,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lateral_pressure,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_lateral_pressure,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_medial_pressure,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_medial_pressure,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_single_leg,100,1,-1,1,2,4,2,-1,5,2,-1,2,1,2,4,1,0,1,5,3,1,2,3,0,1,3,1,4,0,5,1
r_single_leg,101,1,-1,1,2,4,1,-2,4,3,-1,2,1,2,4,-1,0,1,5,2,1,2,3,0,1,3,-1,4,0,5,1
l_weight_shift,102,1,-1,1,2,4,2,-1,5,2,-1,2,1,2,4,1,0,1,5,3,1,2,3,0,1,3,1,4,0,5,1
r_weight_shift,103,1,-1,1,2,4,1,-2,4,3,-1,2,1,2,4,-1,0,1,5,2,1,2,3,0,1,3,-1,4,0,5,1
l_arm_raising,104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
r_arm_raising,105,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
squat_symmetry,106,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0
gait_symmetry,107,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0
l_upper_pain,108,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,1,0,0,0,1,3,1,2,3,1,4,3,0,0
r_upper_pain,109,0,0,0,0,0,0,0,0,0,0,0,1,2,4,-1,0,1,0,0,0,1,3,-1,2,3,-1,4,3,0,0
l_lower_pain,110,1,1,1,2,4,2,1,5,2,1,2,1,2,4,1,2,1,5,3,1,2,3,1,1,3,1,4,2,5,1
r_lower_pain,111,1,1,1,2,4,1,2,4,3,1,2,1,2,4,-1,2,1,5,2,1,2,3,-1,1,3,-1,4,2,5,1
