,Posture Problem,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP + Kyphosis,FHP + Rounded Shoulders,FHP + Text Neck,FHP + Pelvic Tilt (anterior),FHP + Scoliosis,FHP + Flat Back Syndrome,FHP + Hyperlordosis,FHP + Slumped Sitting Posture,FHP + Lordosis,FHP + Rounded Shoulders,FHP + Kyphosis + Scoliosis,FHP + Rounded Shoulders + Text Neck,FHP + Pelvic Tilt + Flat Back Syndrome,FHP + Scoliosis + Hyperlordosis,FHP + Text Neck + Slumped Sitting Posture,FHP + Kyphosis + Rounded Shoulders,FHP + Pelvic Tilt + Lordosis,FHP + Flat Back Syndrome + Scoliosis,FHP + Hyperlordosis + Text Neck,FHP + Slumped Sitting Posture + Kyphosis
r_asis_height,55,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,2,0,0,-2,-2,0,-2,2,0,2,2,0,0,-2
l_hip_rotation,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_hip_rotation,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_hip_height,58,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_hip_height,59,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_hip_shift,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
r_hip_shift,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
l_glute_tone,62,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_glute_tone,63,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_hip_flexor,64,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
r_hip_flexor,65,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
l_knee_alignment,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_knee_alignment,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_knee_rotation,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_knee_rotation,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_patella_tracking,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_patella_tracking,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_knee_hyperext,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_hyperext,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_q_angle,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_q_angle,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_ankle_position,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_ankle_position,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_arch_height,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_arch_height,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_foot_rotation,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_foot_rotation,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_toe_position,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_toe_position,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus_pos,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus_pos,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus_pos,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus_pos,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_pressure,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_pressure,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_pressure,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_pressure,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lateral_pressure,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_lateral_pressure,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_medial_pressure,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
r_medial_pressure,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
l_single_leg,100,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
r_single_leg,101,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
l_weight_shift,102,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
r_weight_shift,103,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
l_arm_raising,104,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
r_arm_raising,105,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
squat_symmetry,106,0,0,0,0,0,2,-2,2,3,-3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
gait_symmetry,107,0,0,0,0,0,2,-2,2,3,-3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
l_upper_pain,108,0,0,0,0,0,2,2,2,3,3,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,0,2,2,2
r_upper_pain,109,0,0,0,0,0,2,2,2,3,3,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,0,2,2,2
l_lower_pain,110,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,0,0,2,0,2,0
r_lower_pain,111,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,0,0,2,0,2,0
