Think how a person with posture problem would answer questions below.

Generate 30 person's response. Simulate their feeling and answer the questions like you have posture problems. Consider human to human variances.

10 person must have only kyphosis.

10 person must have 2 problems combined. ( Pick the combinations freely )

10 person must have 3 problems combined. ( Pick the combinations freely )

Output your reponse as CSV file. Include Question ID's and also answer ID (number).


Posture Problems:
-Kyphosis
This is an excessive outward curvature of the thoracic spine (mid-back), often resulting in a hunched or rounded back appearance.
-Lordosis
Characterized by an exaggerated inward curve of the lumbar spine (lower back), commonly referred to as swayback.
-Scoliosis
A condition where the spine curves sideways in an "S" or "C" shape, affecting its overall alignment.
-Flat Back Syndrome
Occurs when the spine loses its natural curves, becoming abnormally straight, particularly in the lumbar or thoracic regions.
-Forward Head Posture
The head juts forward beyond its neutral position, placing strain on the cervical spine (neck).
-Rounded Shoulders
The shoulders roll forward, often linked to an increased curve in the thoracic spine.
-Text Neck
Similar to forward head posture, this is caused by prolonged looking down at devices, stressing the cervical spine.
-Pelvic Tilt
This can be anterior (tilting forward) or posterior (tilting backward), altering the lumbar spine's alignment.
-Hyperlordosis
An extreme form of lordosis with an excessively pronounced inward lumbar curve.
-Slumped Sitting Posture
A common issue where the entire spine slouches forward during sitting, affecting the cervical, thoracic, and lumbar regions.

QUESTIONS:
question_id,region_id,basic_question,detailed_question,how_to_assess
thoracic_curve,4,"Upper back curve?","Looks at how rounded or flat your upper back is (-10 = very flat, +10 = very rounded, 0 = normal).","Stand sideways to a mirror. If your upper back is extra flat, go negative. If it’s quite rounded, go positive. Zero is normal curve."
spine_curve_coronal,4,"Spine side curve?","Shows if spine curves left or right (-10=curves left, +10=curves right, 0=straight).","Stand facing forward, check if spine leans left or right. If left, go negative. If right, go positive. Zero is straight."
l_lumbar_tension,5,"Left lower back tension?","Checks if your left lower back feels overly tight or loose (-10 = very tight, +10 = very loose, 0 = normal).","Gently press or move your left lower back. If it’s very tight, go negative. If it feels open, go positive. Zero is normal tension."
r_lumbar_tension,5,"Right lower back tension?","Checks if your right lower back feels overly tight or loose (-10 = very tight, +10 = very loose, 0 = normal).","Gently press or move your right lower back. If it’s very tight, go negative. If it feels open, go positive. Zero is normal tension."
l_lumbar_rotation,5,"Left lower back twist?","Shows how easily you twist your lower back to the left (-10 = stuck, +10 = very free, 0 = normal).","Stand or sit upright. Gently rotate your hips/torso left. If tight, go negative. If free, go positive. Zero is usual movement."
r_lumbar_rotation,5,"Right lower back twist?","Shows how easily you twist your lower back to the right (-10 = stuck, +10 = very free, 0 = normal).","Stand or sit upright. Gently rotate your hips/torso right. If tight, go negative. If free, go positive. Zero is usual movement."
l_lumbar_sidebend,5,"Left lower back side-bend?","Checks if bending sideways left at your lower back feels tight or open (-10 = very tight, +10 = very open, 0 = normal).","Stand and bend sideways to the left. If it feels jammed, go negative. If you can bend well, go positive. Zero is normal."
r_lumbar_sidebend,5,"Right lower back side-bend?","Checks if bending sideways right at your lower back feels tight or open (-10 = very tight, +10 = very open, 0 = normal).","Stand and bend sideways to the right. If it feels jammed, go negative. If you can bend well, go positive. Zero is normal."
lumbar_curve,5,"Lower back curve?","Shows if your lower back is overly flat or too arched (-10 = very flat, +10 = very arched, 0 = normal).","Look at your side profile. If you have a deep arch, go positive. If it’s very flat, go negative. Zero is a natural curve."
l_upper_abs,5,"Left upper belly firmness?","Checks if your left upper belly area feels weak or firm (-10 = very weak, +10 = very tight, 0 = normal).","Tense your upper left belly slightly or press gently. If it’s weak, pick a negative number. If it’s especially firm, pick a positive number. Zero is usual strength."
r_upper_abs,5,"Right upper belly firmness?","Checks if your right upper belly area feels weak or firm (-10 = very weak, +10 = very tight, 0 = normal).","Tense your upper right belly slightly or press gently. If it’s weak, pick a negative number. If it’s especially firm, pick a positive number. Zero is usual strength."
l_lower_abs,5,"Left lower belly firmness?","Checks if your left lower belly area feels weak or firm (-10 = very weak, +10 = very tight, 0 = normal).","Tense your lower left belly or press gently. If it’s weak, pick a negative number. If it’s firm, pick a positive. Zero is your normal feeling."
r_lower_abs,5,"Right lower belly firmness?","Checks if your right lower belly area feels weak or firm (-10 = very weak, +10 = very tight, 0 = normal).","Tense your lower right belly or press gently. If it’s weak, pick a negative number. If it’s firm, pick a positive. Zero is your normal feeling."
l_obliques,5,"Left side belly strength?","Shows if your left side belly muscles feel weaker or stronger (-10 = very weak, +10 = very tight, 0 = normal).","Try a small side crunch to the left. If your side belly feels weak, go negative. If it’s tight/strong, go positive. Zero is normal."
r_obliques,5,"Right side belly strength?","Shows if your right side belly muscles feel weaker or stronger (-10 = very weak, +10 = very tight, 0 = normal).","Try a small side crunch to the right. If your side belly feels weak, go negative. If it’s tight/strong, go positive. Zero is normal."
l_si_joint,6,"Left back of hip tilt?","Checks if the back part of your left hip area tilts back or forward (-10 = tilted back, +10 = tilted forward, 0 = neutral).","Feel the back-left hip area. If it tilts back, go negative. If it tilts forward, go positive. Zero is centered."
r_si_joint,6,"Right back of hip tilt?","Checks if the back part of your right hip area tilts back or forward (-10 = tilted back, +10 = tilted forward, 0 = neutral).","Feel the back-right hip area. If it tilts back, go negative. If it tilts forward, go positive. Zero is centered."
l_psis_height,6,"Left back hip bone height?","Shows if the left back hip bone is low or high (-10 = very low, +10 = very high, 0 = level).","Use a mirror or a friend to compare the left back hip bone to the right. If it’s lower, go negative. If higher, go positive. Zero is level."
r_psis_height,6,"Right back hip bone height?","Shows if the right back hip bone is low or high (-10 = very low, +10 = very high, 0 = level).","Use a mirror or a friend to compare the right back hip bone to the left. If it’s lower, go negative. If higher, go positive. Zero is level."
l_asis_height,6,"Left front hip bone height?","Shows if the left front hip bone is low or high (-10 = very low, +10 = very high, 0 = level).","Use a mirror or a friend to compare the left front hip bone to the right. If it’s lower, go negative. If higher, go positive. Zero is level."
r_asis_height,6,"Right front hip bone height?","Shows if the right front hip bone is low or high (-10 = very low, +10 = very high, 0 = level).","Use a mirror or a friend to compare the right front hip bone to the left. If it’s lower, go negative. If higher, go positive. Zero is level."
l_hip_rotation,7,"Left hip turned in/out?","Checks if your left hip is rotated inward or outward (-10 = turned in, +10 = turned out, 0 = neutral).","Stand with feet forward. If your left toes or knee point inward, go negative. If they point outward, go positive. Zero is straight ahead."
r_hip_rotation,7,"Right hip turned in/out?","Checks if your right hip is rotated inward or outward (-10 = turned in, +10 = turned out, 0 = neutral).","Stand with feet forward. If your right toes or knee point inward, go negative. If they point outward, go positive. Zero is straight ahead."
l_hip_height,7,"Left hip lower/higher?","Shows if your left hip sits lower or higher (-10 = very low, +10 = very high, 0 = level).","Face a mirror. If your left hip seems lower, go negative. If it’s higher, go positive. Zero is level with the right side."
r_hip_height,7,"Right hip lower/higher?","Shows if your right hip sits lower or higher (-10 = very low, +10 = very high, 0 = level).","Face a mirror. If your right hip seems lower, go negative. If it’s higher, go positive. Zero is level with the left side."
l_hip_shift,7,"Left hip back/forward?","Checks if your left hip shifts backward or forward (-10 = shifted back, +10 = shifted forward, 0 = centered).","Stand sideways and see if your left hip is behind or ahead of your torso. If behind, go negative. If forward, go positive. Zero is centered."
r_hip_shift,7,"Right hip back/forward?","Checks if your right hip shifts backward or forward (-10 = shifted back, +10 = shifted forward, 0 = centered).","Stand sideways and see if your right hip is behind or ahead of your torso. If behind, go negative. If forward, go positive. Zero is centered."
l_glute_tone,7,"Left backside firmness?","Shows if your left backside (glute) feels weak or extra tight (-10 = very weak, +10 = very firm, 0 = normal).","Tense your left backside. If it feels weak, pick negative. If it’s very firm, pick positive. Zero is your normal feel."
r_glute_tone,7,"Right backside firmness?","Shows if your right backside (glute) feels weak or extra tight (-10 = very weak, +10 = very firm, 0 = normal).","Tense your right backside. If it feels weak, pick negative. If it’s very firm, pick positive. Zero is your normal feel."
l_hip_flexor,7,"Left front hip tight/open?","Checks if the front of your left hip is tight or open (-10 = very tight, +10 = very open, 0 = normal).","Gently stretch your left front hip (like a small lunge). If it feels very tight, go negative. If it opens easily, go positive. Zero is normal."
r_hip_flexor,7,"Right front hip tight/open?","Checks if the front of your right hip is tight or open (-10 = very tight, +10 = very open, 0 = normal).","Gently stretch your right front hip (like a small lunge). If it feels very tight, go negative. If it opens easily, go positive. Zero is normal."
l_knee_alignment,8,"Left knee angle?","Looks at whether your left knee points inward or outward (-10 = inward, +10 = outward, 0 = straight).","Stand with feet about hip-width. If the left knee bends inward, go negative. If it points outward, go positive. Zero is straight ahead."
r_knee_alignment,8,"Right knee angle?","Looks at whether your right knee points inward or outward (-10 = inward, +10 = outward, 0 = straight).","Stand with feet about hip-width. If the right knee bends inward, go negative. If it points outward, go positive. Zero is straight ahead."
l_knee_rotation,8,"Left knee rotation?","Checks if your left knee twists inward or outward (-10 = turned in, +10 = turned out, 0 = neutral).","Gently twist or observe how your left knee moves. If it twists in, go negative. If out, go positive. Zero is no twist."
r_knee_rotation,8,"Right knee rotation?","Checks if your right knee twists inward or outward (-10 = turned in, +10 = turned out, 0 = neutral).","Gently twist or observe how your right knee moves. If it twists in, go negative. If out, go positive. Zero is no twist."
l_patella_tracking,8,"Left kneecap direction?","Shows if your left kneecap is angled inward or outward (-10 = more inside, +10 = more outside, 0 = center).","Look down at your left kneecap alignment. If it points inward, go negative. If outward, go positive. Zero is center."
r_patella_tracking,8,"Right kneecap direction?","Shows if your right kneecap is angled inward or outward (-10 = more inside, +10 = more outside, 0 = center).","Look down at your right kneecap alignment. If it points inward, go negative. If outward, go positive. Zero is center."
l_knee_hyperext,8,"Left knee locked or bent?","Checks if the left knee locks backward or stays slightly bent (-10 = bent, +10 = locked back, 0 = normal).","Stand normally. If your left knee pushes far back, go positive. If it stays bent, go negative. Zero is a comfortable stance."
r_knee_hyperext,8,"Right knee locked or bent?","Checks if the right knee locks backward or stays slightly bent (-10 = bent, +10 = locked back, 0 = normal).","Stand normally. If your right knee pushes far back, go positive. If it stays bent, go negative. Zero is a comfortable stance."
l_q_angle,8,"Left knee angle measure?","Shows if your left knee angle is smaller or bigger (-10 = very small angle, +10 = very large, 0 = typical).","Look at the lines from hip to knee to foot on the left side. If the angle is tighter, go negative. If it’s wide, go positive. Zero is normal."
r_q_angle,8,"Right knee angle measure?","Shows if your right knee angle is smaller or bigger (-10 = very small angle, +10 = very large, 0 = typical).","Look at the lines from hip to knee to foot on the right side. If the angle is tighter, go negative. If it’s wide, go positive. Zero is normal."
l_ankle_position,9,"Left ankle tilt?","Shows if the left ankle tilts inward or outward (-10 = inward tilt, +10 = outward tilt, 0 = neutral).","Stand with feet relaxed. If your left ankle rolls inward, go negative. If it rolls outward, go positive. Zero is neutral."
r_ankle_position,9,"Right ankle tilt?","Shows if the right ankle tilts inward or outward (-10 = inward tilt, +10 = outward tilt, 0 = neutral).","Stand with feet relaxed. If your right ankle rolls inward, go negative. If it rolls outward, go positive. Zero is neutral."
l_arch_height,9,"Left foot arch low/high?","Checks if your left foot arch is very flat or high (-10 = very flat, +10 = very high, 0 = normal).","Observe or do a wet foot test. If the arch collapses, go negative. If it’s raised, go positive. Zero is a normal arch."
r_arch_height,9,"Right foot arch low/high?","Checks if your right foot arch is very flat or high (-10 = very flat, +10 = very high, 0 = normal).","Observe or do a wet foot test. If the arch collapses, go negative. If it’s raised, go positive. Zero is a normal arch."
l_foot_rotation,9,"Left foot turned in/out?","Shows if your left foot points inward or outward (-10 = inward, +10 = outward, 0 = straight).","Stand naturally. If left toes angle in, go negative. If they angle out, go positive. Zero is straight ahead."
r_foot_rotation,9,"Right foot turned in/out?","Shows if your right foot points inward or outward (-10 = inward, +10 = outward, 0 = straight).","Stand naturally. If right toes angle in, go negative. If they angle out, go positive. Zero is straight ahead."
l_toe_position,9,"Left toes shape?","Checks if your left toes curl or shift outward (-10 = curled in, +10 = angled out, 0 = normal).","Look at your left toes. If they curl or pinch inward, go negative. If they drift out, go positive. Zero is normal shape."
r_toe_position,9,"Right toes shape?","Checks if your right toes curl or shift outward (-10 = curled in, +10 = angled out, 0 = normal).","Look at your right toes. If they curl or pinch inward, go negative. If they drift out, go positive. Zero is normal shape."
l_heel_callus,9,"Left heel thick skin?","Shows if the left heel has built-up skin (-10 = none, +10 = very thick, 0 = normal).","Check your left heel for thickness. If almost no buildup, go negative. If very thick, go positive. Zero is normal layer."
l_heel_callus_pos,9,"Left heel skin inside/outside?","Shows if the left heel callus is more on the inside or outside (-10 = inside, +10 = outside, 0 = center).","Check the left heel location of thick skin. If it’s mostly inside, go negative. If it’s on the outside, go positive. Zero is center."
r_heel_callus,9,"Right heel thick skin?","Shows if the right heel has built-up skin (-10 = none, +10 = very thick, 0 = normal).","Check your right heel for thickness. If almost no buildup, go negative. If very thick, go positive. Zero is normal layer."
r_heel_callus_pos,9,"Right heel skin inside/outside?","Shows if the right heel callus is more on the inside or outside (-10 = inside, +10 = outside, 0 = center).","Check the right heel location of thick skin. If it’s mostly inside, go negative. If it’s on the outside, go positive. Zero is center."
l_forefoot_callus,9,"Left forefoot thick skin?","Shows if the ball or toes of the left foot have thick skin (-10 = none, +10 = very thick, 0 = normal).","Examine the front of your left foot for calluses. If none, go negative. If very thick, go positive. Zero is normal thickness."
l_forefoot_callus_pos,9,"Left forefoot callus inside/outside?","Shows if the left forefoot callus is inside or outside (-10 = inside, +10 = outside, 0 = center).","Check the location of callus on the left forefoot. If inside, go negative. If outside, go positive. Zero is center."
r_forefoot_callus,9,"Right forefoot thick skin?","Shows if the ball or toes of the right foot have thick skin (-10 = none, +10 = very thick, 0 = normal).","Examine the front of your right foot for calluses. If none, go negative. If very thick, go positive. Zero is normal thickness."
r_forefoot_callus_pos,9,"Right forefoot callus inside/outside?","Shows if the right forefoot callus is inside or outside (-10 = inside, +10 = outside, 0 = center).","Check the location of callus on the right forefoot. If inside, go negative. If outside, go positive. Zero is center."
l_heel_pressure,9,"Left heel pressure?","Checks if your left heel bears less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and notice pressure under your left heel. If hardly any weight, go negative. If a lot, go positive. Zero is normal load."
r_heel_pressure,9,"Right heel pressure?","Checks if your right heel bears less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and notice pressure under your right heel. If hardly any weight, go negative. If a lot, go positive. Zero is normal load."
l_forefoot_pressure,9,"Left forefoot pressure?","Checks if your left forefoot bears less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and notice pressure under your left forefoot. If hardly any, go negative. If a lot, go positive. Zero is normal load."
r_forefoot_pressure,9,"Right forefoot pressure?","Checks if your right forefoot bears less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and notice pressure under your right forefoot. If hardly any, go negative. If a lot, go positive. Zero is normal load."
l_lateral_pressure,9,"Left outer foot pressure?","Shows if your left foot’s outer edge has less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and feel how much pressure is on the outer left foot. If barely any, go negative. If a lot, go positive. Zero is normal."
r_lateral_pressure,9,"Right outer foot pressure?","Shows if your right foot’s outer edge has less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and feel how much pressure is on the outer right foot. If barely any, go negative. If a lot, go positive. Zero is normal."
l_medial_pressure,9,"Left inner foot pressure?","Shows if your left foot’s inner edge has less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and feel how much pressure is on the inner left foot. If barely any, go negative. If a lot, go positive. Zero is normal."
r_medial_pressure,9,"Right inner foot pressure?","Shows if your right foot’s inner edge has less or more weight (-10 = very light, +10 = very heavy, 0 = normal).","Stand and feel how much pressure is on the inner right foot. If barely any, go negative. If a lot, go positive. Zero is normal."
l_single_leg,10,"Left single-leg balance?","Checks if standing on your left leg feels unstable or steady (-10 = very secure, +10 = very wobbly, 0 = normal).","Try balancing on the left leg. If it’s super shaky, go positive. If rock-solid, go negative. Zero is an average balance."
r_single_leg,10,"Right single-leg balance?","Checks if standing on your right leg feels unstable or steady (-10 = very secure, +10 = very wobbly, 0 = normal).","Try balancing on the right leg. If it’s super shaky, go positive. If rock-solid, go negative. Zero is an average balance."
l_weight_shift,10,"Left side weight shift?","Shows if shifting weight to your left side feels controlled or not (-10 = controlled, +10 = uncontrolled, 0 = normal).","Gently lean or shift weight to the left. If you feel stable, go negative. If it’s hard to control, go positive. Zero is typical control."
r_weight_shift,10,"Right side weight shift?","Shows if shifting weight to your right side feels controlled or not (-10 = controlled, +10 = uncontrolled, 0 = normal).","Gently lean or shift weight to the right. If you feel stable, go negative. If it’s hard to control, go positive. Zero is typical control."
l_arm_raising,10,"Left arm raising pattern?","Checks if lifting your left arm is smooth or awkward (-10 = very smooth, +10 = very compensated, 0 = normal).","Raise your left arm overhead. If it’s jerky or you have to compensate a lot, go positive. If it’s easy and fluid, go negative. Zero is normal movement."
r_arm_raising,10,"Right arm raising pattern?","Checks if lifting your right arm is smooth or awkward (-10 = very smooth, +10 = very compensated, 0 = normal).","Raise your right arm overhead. If it’s jerky or you have to compensate a lot, go positive. If it’s easy and fluid, go negative. Zero is normal movement."
squat_symmetry,10,"Squat pattern left/right?","Shows if squatting leans left or right (-10 = heavily left, +10 = heavily right, 0 = balanced).","Do a slow squat. If you shift more to the left, go negative. If you shift more to the right, go positive. Zero means you stay centered."
gait_symmetry,10,"Walking pattern left/right?","Checks if your walk favors one side (-10 = left side, +10 = right side, 0 = balanced).","Walk normally. If you lean or push off more on the left, go negative. If more on the right, go positive. Zero is even."
l_upper_pain,11,"Left upper body discomfort?","Shows if the left upper area feels mild or severe discomfort (-10 = none, +10 = very bad, 0 = normal).","Move or press gently around the left upper side (shoulder, arm, etc.). If very painful, go positive. If no pain, go negative. Zero is normal."
r_upper_pain,11,"Right upper body discomfort?","Shows if the right upper area feels mild or severe discomfort (-10 = none, +10 = very bad, 0 = normal).","Move or press gently around the right upper side (shoulder, arm, etc.). If very painful, go positive. If no pain, go negative. Zero is normal."
l_lower_pain,11,"Left lower body discomfort?","Shows if the left lower area feels mild or severe discomfort (-10 = none, +10 = very bad, 0 = normal).","Move or press gently around the left lower side (hip, leg, etc.). If very painful, go positive. If no pain, go negative. Zero is normal."
r_lower_pain,11,"Right lower body discomfort?","Shows if the right lower area feels mild or severe discomfort (-10 = none, +10 = very bad, 0 = normal).","Move or press gently around the right lower side (hip, leg, etc.). If very painful, go positive. If no pain, go negative. Zero is normal."
